cluster_id	member_id	source_group	length	cross_group_cluster
mh_p110_000000000160	mh_p110_000000000160	mh_p110	1179	0
mh_p110_000000000161	mh_p110_000000000161	mh_p110	9473	0
mh_p110_000000000162	mh_p110_000000000162	mh_p110	7521	0
mh_p110_000000000166	mh_p110_000000000166	mh_p110	1283	0
mh_p110_000000000168	mh_p110_000000000168	mh_p110	2846	0
mh_p110_000000000171	mh_p110_000000000171	mh_p110	1434	0
mh_p110_000000000173	mh_p110_000000000173	mh_p110	2950	0
mh_p110_000000000174	mh_p110_000000000174	mh_p110	19537	0
mh_p110_000000000176	mh_p110_000000000176	mh_p110	7172	0
mh_p110_000000000177	mh_p110_000000000177	mh_p110	1046	0
mh_p110_000000000183	mh_p110_000000000183	mh_p110	1667	0
mh_p110_000000000185	mh_p110_000000000185	mh_p110	1252	0
mh_p110_000000000186	mh_p110_000000000186	mh_p110	1160	0
mh_p110_000000000187	mh_p110_000000000187	mh_p110	2051	0
mh_p110_000000000192	mh_p110_000000000192	mh_p110	7211	0
mh_p110_000000000193	mh_p110_000000000193	mh_p110	1968	0
mh_p110_000000000194	mh_p110_000000000194	mh_p110	1333	0
mh_p110_000000000195	mh_p110_000000000195	mh_p110	1458	1
mh_p110_000000000195	spaS30_000000023505	spaS30	1458	1
mh_p110_000000000196	mh_p110_000000000196	mh_p110	2697	0
mh_p110_000000000197	mh_p110_000000000197	mh_p110	20654	0
mh_p110_000000000198	mh_p110_000000000198	mh_p110	1050	0
mh_p110_000000000199	mh_p110_000000000199	mh_p110	1402	0
mh_p110_000000000202	mh_p110_000000000202	mh_p110	2045	0
mh_p110_000000000203	mh_p110_000000000203	mh_p110	1116	0
mh_p110_000000000204	mh_p110_000000000204	mh_p110	1433	0
mh_p110_000000000205	mh_p110_000000000205	mh_p110	1806	0
mh_p110_000000000207	mh_p110_000000000207	mh_p110	2409	0
mh_p110_000000000210	mh_p110_000000000210	mh_p110	1460	0
mh_p110_000000000212	mh_p110_000000000212	mh_p110	3595	0
mh_p110_000000000214	mh_p110_000000000214	mh_p110	7982	0
mh_p110_000000000216	mh_p110_000000000216	mh_p110	3179	0
mh_p110_000000000219	mh_p110_000000000219	mh_p110	1150	0
mh_p110_000000000228	mh_p110_000000000228	mh_p110	35034	0
mh_p110_000000000229	mh_p110_000000000229	mh_p110	5182	0
mh_p110_000000000232	mh_p110_000000000232	mh_p110	3197	0
mh_p110_000000000233	mh_p110_000000000233	mh_p110	9006	1
mh_p110_000000000233	spaS222_000000003338	spaS222	8842	1
mh_p110_000000000233	spaS223_000000003461	spaS223	8584	1
mh_p110_000000000236	mh_p110_000000000236	mh_p110	1458	0
mh_p110_000000000239	mh_p110_000000000239	mh_p110	1778	0
mh_p110_000000001719	mh_p110_000000001719	mh_p110	1647	0
mh_p110_000000001721	mh_p110_000000001721	mh_p110	1699	0
mh_p110_000000001724	mh_p110_000000001724	mh_p110	4217	0
mh_p110_000000001726	mh_p110_000000001726	mh_p110	5941	0
mh_p110_000000001732	mh_p110_000000001732	mh_p110	1111	0
mh_p110_000000001733	mh_p110_000000001733	mh_p110	1993	0
mh_p110_000000001735	mh_p110_000000001735	mh_p110	12251	1
mh_p110_000000001735	spaS30_000000002758	spaS30	11997	1
mh_p110_000000001735	spaS37_000000002596	spaS37	11997	1
mh_p110_000000001737	mh_p110_000000001737	mh_p110	20012	0
mh_p110_000000001740	mh_p110_000000001740	mh_p110	1547	0
mh_p110_000000001741	mh_p110_000000001741	mh_p110	1006	0
mh_p110_000000001744	mh_p110_000000001744	mh_p110	33821	1
mh_p110_000000001744	spaS30_000000000961	spaS30	33575	1
mh_p110_000000001744	spaS37_000000000947	spaS37	33576	1
mh_p110_000000001746	mh_p110_000000001746	mh_p110	25797	0
mh_p110_000000001747	mh_p110_000000001747	mh_p110	1058	0
mh_p110_000000001752	mh_p110_000000001752	mh_p110	1358	0
mh_p110_000000001753	mh_p110_000000001753	mh_p110	3051	0
mh_p110_000000001754	mh_p110_000000001754	mh_p110	1869	0
mh_p110_000000001761	mh_p110_000000001761	mh_p110	47384	0
mh_p110_000000001763	mh_p110_000000001763	mh_p110	1420	0
mh_p110_000000001770	mh_p110_000000001770	mh_p110	41542	1
mh_p110_000000001770	spaS37_000000000810	spaS37	38374	1
mh_p110_000000001770	spaS223_000000000532	spaS223	40096	1
mh_p110_000000001771	mh_p110_000000001771	mh_p110	4268	0
mh_p110_000000001775	mh_p110_000000001775	mh_p110	1407	0
mh_p110_000000001779	mh_p110_000000001779	mh_p110	13170	0
mh_p110_000000001780	mh_p110_000000001780	mh_p110	1093	0
mh_p110_000000001784	mh_p110_000000001784	mh_p110	2387	0
mh_p110_000000001789	mh_p110_000000001789	mh_p110	1542	0
mh_p110_000000001790	mh_p110_000000001790	mh_p110	36092	0
mh_p110_000000001792	mh_p110_000000001792	mh_p110	4066	0
mh_p110_000000001795	mh_p110_000000001795	mh_p110	1891	0
mh_p110_000000001799	mh_p110_000000001799	mh_p110	6843	0
mh_p110_000000001801	mh_p110_000000001801	mh_p110	1817	1
mh_p110_000000001801	spaS30_000000019247	spaS30	1731	1
mh_p110_000000001801	spaS37_000000017041	spaS37	1731	1
mh_p110_000000001803	mh_p110_000000001803	mh_p110	5750	1
mh_p110_000000001803	spaS37_000000005335	spaS37	5502	1
mh_p110_000000001804	mh_p110_000000001804	mh_p110	1026	0
mh_p110_000000001805	mh_p110_000000001805	mh_p110	2385	0
mh_p110_000000001806	mh_p110_000000001806	mh_p110	3228	1
mh_p110_000000001806	spaS37_000000010985	spaS37	2675	1
mh_p110_000000001807	mh_p110_000000001807	mh_p110	1170	0
mh_p110_000000001809	mh_p110_000000001809	mh_p110	1046	1
mh_p110_000000001809	spaS222_000000023846	spaS222	1046	1
mh_p110_000000001810	mh_p110_000000001810	mh_p110	1293	0
mh_p110_000000001811	mh_p110_000000001811	mh_p110	1348	0
mh_p110_000000001812	mh_p110_000000001812	mh_p110	2648	0
mh_p110_000000001813	mh_p110_000000001813	mh_p110	1289	0
mh_p110_000000001815	mh_p110_000000001815	mh_p110	3319	0
mh_p110_000000001816	mh_p110_000000001816	mh_p110	3042	0
mh_p110_000000001818	mh_p110_000000001818	mh_p110	1107	0
mh_p110_000000001822	mh_p110_000000001822	mh_p110	1040	0
mh_p110_000000001824	mh_p110_000000001824	mh_p110	1364	0
mh_p110_000000001828	mh_p110_000000001828	mh_p110	1154	0
mh_p110_000000001833	mh_p110_000000001833	mh_p110	1870	0
mh_p110_000000001834	mh_p110_000000001834	mh_p110	1326	0
mh_p110_000000001835	mh_p110_000000001835	mh_p110	1071	0
mh_p110_000000001836	mh_p110_000000001836	mh_p110	3364	1
mh_p110_000000001836	spaS37_000000009546	spaS37	3068	1
mh_p110_000000001837	mh_p110_000000001837	mh_p110	1766	0
mh_p110_000000001842	mh_p110_000000001842	mh_p110	1300	0
mh_p110_000000001843	mh_p110_000000001843	mh_p110	1516	0
mh_p110_000000001844	mh_p110_000000001844	mh_p110	1292	0
mh_p110_000000001846	mh_p110_000000001846	mh_p110	4349	0
mh_p110_000000001847	mh_p110_000000001847	mh_p110	2287	0
mh_p110_000000001848	mh_p110_000000001848	mh_p110	1461	0
mh_p110_000000001853	mh_p110_000000001853	mh_p110	1105	0
mh_p110_000000001855	mh_p110_000000001855	mh_p110	1532	0
mh_p110_000000001858	mh_p110_000000001858	mh_p110	1171	0
mh_p110_000000001860	mh_p110_000000001860	mh_p110	1883	1
mh_p110_000000001860	spaS222_000000013369	spaS222	1883	1
mh_p110_000000001862	mh_p110_000000001862	mh_p110	2104	0
mh_p110_000000001863	mh_p110_000000001863	mh_p110	2598	0
mh_p110_000000001865	mh_p110_000000001865	mh_p110	2317	0
mh_p110_000000001866	mh_p110_000000001866	mh_p110	1557	0
mh_p110_000000001870	mh_p110_000000001870	mh_p110	1028	0
mh_p110_000000001871	mh_p110_000000001871	mh_p110	63901	0
mh_p110_000000001873	mh_p110_000000001873	mh_p110	6029	0
mh_p110_000000001875	mh_p110_000000001875	mh_p110	10144	0
mh_p110_000000001876	mh_p110_000000001876	mh_p110	12811	0
mh_p110_000000001877	mh_p110_000000001877	mh_p110	1280	0
mh_p110_000000001879	mh_p110_000000001879	mh_p110	100207	0
mh_p110_000000001880	mh_p110_000000001880	mh_p110	4790	0
mh_p110_000000001881	mh_p110_000000001881	mh_p110	1776	0
mh_p110_000000001884	mh_p110_000000001884	mh_p110	1040	0
mh_p110_000000001886	mh_p110_000000001886	mh_p110	1136	0
mh_p110_000000001887	mh_p110_000000001887	mh_p110	3395	0
mh_p110_000000001888	mh_p110_000000001888	mh_p110	18192	0
mh_p110_000000001889	mh_p110_000000001889	mh_p110	1464	0
mh_p110_000000001890	mh_p110_000000001890	mh_p110	1872	0
mh_p110_000000001891	mh_p110_000000001891	mh_p110	1314	0
mh_p110_000000001893	mh_p110_000000001893	mh_p110	2421	0
mh_p110_000000001894	mh_p110_000000001894	mh_p110	1555	0
mh_p110_000000001899	mh_p110_000000001899	mh_p110	1196	1
mh_p110_000000001899	spaS223_000000027948	spaS223	1107	1
mh_p110_000000001900	mh_p110_000000001900	mh_p110	1037	0
mh_p110_000000001901	mh_p110_000000001901	mh_p110	1214	0
mh_p110_000000001902	mh_p110_000000001902	mh_p110	2361	0
mh_p110_000000001903	mh_p110_000000001903	mh_p110	2684	1
mh_p110_000000001903	spaS30_000000013398	spaS30	2401	1
mh_p110_000000001904	mh_p110_000000001904	mh_p110	18511	0
mh_p110_000000001908	mh_p110_000000001908	mh_p110	10408	1
mh_p110_000000001908	spaS222_000000003221	spaS222	9196	1
mh_p110_000000001915	mh_p110_000000001915	mh_p110	1075	0
mh_p110_000000001916	mh_p110_000000001916	mh_p110	1325	0
mh_p110_000000003069	mh_p110_000000003069	mh_p110	2443	1
mh_p110_000000003069	spaS37_000000012068	spaS37	2443	1
mh_p110_000000003071	mh_p110_000000003071	mh_p110	1089	0
mh_p110_000000003072	mh_p110_000000003072	mh_p110	1179	0
mh_p110_000000003073	mh_p110_000000003073	mh_p110	3106	0
mh_p110_000000003079	mh_p110_000000003079	mh_p110	6370	0
mh_p110_000000003081	mh_p110_000000003081	mh_p110	2674	0
mh_p110_000000003083	mh_p110_000000003083	mh_p110	1014	0
mh_p110_000000003088	mh_p110_000000003088	mh_p110	1600	0
mh_p110_000000003089	mh_p110_000000003089	mh_p110	1414	1
mh_p110_000000003089	spaS30_000000027092	spaS30	1287	1
mh_p110_000000003090	mh_p110_000000003090	mh_p110	1794	0
mh_p110_000000003091	mh_p110_000000003091	mh_p110	3588	0
mh_p110_000000003093	mh_p110_000000003093	mh_p110	9222	0
mh_p110_000000003095	mh_p110_000000003095	mh_p110	2111	0
mh_p110_000000003098	mh_p110_000000003098	mh_p110	1071	0
mh_p110_000000003099	mh_p110_000000003099	mh_p110	1370	1
mh_p110_000000003099	spaS222_000000020530	spaS222	1207	1
mh_p110_000000003101	mh_p110_000000003101	mh_p110	1491	0
mh_p110_000000003105	mh_p110_000000003105	mh_p110	4650	1
mh_p110_000000003105	spaS37_000000006457	spaS37	4497	1
mh_p110_000000003106	mh_p110_000000003106	mh_p110	1287	0
mh_p110_000000003107	mh_p110_000000003107	mh_p110	1329	0
mh_p110_000000003108	mh_p110_000000003108	mh_p110	1113	0
mh_p110_000000003109	mh_p110_000000003109	mh_p110	1033	0
mh_p110_000000003110	mh_p110_000000003110	mh_p110	6226	0
mh_p110_000000003114	mh_p110_000000003114	mh_p110	1097	1
mh_p110_000000003114	spaS30_000000034348	spaS30	1051	1
mh_p110_000000003116	mh_p110_000000003116	mh_p110	1041	0
mh_p110_000000003117	mh_p110_000000003117	mh_p110	1168	1
mh_p110_000000003117	spaS37_000000029097	spaS37	1058	1
mh_p110_000000003121	mh_p110_000000003121	mh_p110	2188	0
mh_p110_000000003122	mh_p110_000000003122	mh_p110	1291	1
mh_p110_000000003122	spaS222_000000023328	spaS222	1066	1
mh_p110_000000003123	mh_p110_000000003123	mh_p110	1741	0
mh_p110_000000003125	mh_p110_000000003125	mh_p110	1666	0
mh_p110_000000003128	mh_p110_000000003128	mh_p110	1290	0
mh_p110_000000003129	mh_p110_000000003129	mh_p110	1816	0
mh_p110_000000003131	mh_p110_000000003131	mh_p110	2016	0
mh_p110_000000003133	mh_p110_000000003133	mh_p110	3202	0
mh_p110_000000003138	mh_p110_000000003138	mh_p110	2446	0
mh_p110_000000003139	mh_p110_000000003139	mh_p110	98460	0
mh_p110_000000003141	mh_p110_000000003141	mh_p110	1306	0
mh_p110_000000003145	mh_p110_000000003145	mh_p110	22620	0
mh_p110_000000003148	mh_p110_000000003148	mh_p110	20452	0
mh_p110_000000003152	mh_p110_000000003152	mh_p110	1858	0
mh_p110_000000003153	mh_p110_000000003153	mh_p110	5762	0
mh_p110_000000003154	mh_p110_000000003154	mh_p110	1420	0
mh_p110_000000003159	mh_p110_000000003159	mh_p110	1317	1
mh_p110_000000003159	spaS30_000000032898	spaS30	1088	1
mh_p110_000000003162	mh_p110_000000003162	mh_p110	2088	0
mh_p110_000000003165	mh_p110_000000003165	mh_p110	13047	1
mh_p110_000000003165	spaS37_000000002452	spaS37	12875	1
mh_p110_000000003165	spaS223_000000002221	spaS223	12885	1
mh_p110_000000003165	spaS30_000000002569	spaS30	12875	1
mh_p110_000000003165	spaS222_000000002394	spaS222	12788	1
mh_p110_000000003167	mh_p110_000000003167	mh_p110	2582	0
mh_p110_000000003170	mh_p110_000000003170	mh_p110	58995	0
mh_p110_000000003173	mh_p110_000000003173	mh_p110	1880	0
mh_p110_000000003175	mh_p110_000000003175	mh_p110	1375	0
mh_p110_000000003177	mh_p110_000000003177	mh_p110	1509	0
mh_p110_000000003178	mh_p110_000000003178	mh_p110	3427	0
mh_p110_000000003180	mh_p110_000000003180	mh_p110	1316	1
mh_p110_000000003180	spaS30_000000030069	spaS30	1175	1
mh_p110_000000003186	mh_p110_000000003186	mh_p110	1158	0
mh_p110_000000003187	mh_p110_000000003187	mh_p110	1091	0
mh_p110_000000003188	mh_p110_000000003188	mh_p110	2821	0
mh_p110_000000003192	mh_p110_000000003192	mh_p110	1100	0
mh_p110_000000003193	mh_p110_000000003193	mh_p110	1597	0
mh_p110_000000003197	mh_p110_000000003197	mh_p110	5410	0
mh_p110_000000003199	mh_p110_000000003199	mh_p110	1294	1
mh_p110_000000003199	spaS37_000000024381	spaS37	1238	1
mh_p110_000000003201	mh_p110_000000003201	mh_p110	4306	1
mh_p110_000000003201	spaS223_000000008494	spaS223	3522	1
mh_p110_000000003201	spaS222_000000007582	spaS222	3522	1
mh_p110_000000003201	spaS37_000000008293	spaS37	3521	1
mh_p110_000000003203	mh_p110_000000003203	mh_p110	1244	0
mh_p110_000000003215	mh_p110_000000003215	mh_p110	4584	0
mh_p110_000000003217	mh_p110_000000003217	mh_p110	38702	0
mh_p110_000000003218	mh_p110_000000003218	mh_p110	1465	0
mh_p110_000000003219	mh_p110_000000003219	mh_p110	2126	0
mh_p110_000000003221	mh_p110_000000003221	mh_p110	46757	0
mh_p110_000000003224	mh_p110_000000003224	mh_p110	5203	0
mh_p110_000000003225	mh_p110_000000003225	mh_p110	5118	0
mh_p110_000000003230	mh_p110_000000003230	mh_p110	2881	0
mh_p110_000000003231	mh_p110_000000003231	mh_p110	2476	0
mh_p110_000000003232	mh_p110_000000003232	mh_p110	3243	0
mh_p110_000000003235	mh_p110_000000003235	mh_p110	2210	1
mh_p110_000000003235	spaS30_000000015987	spaS30	2050	1
mh_p110_000000003236	mh_p110_000000003236	mh_p110	4624	1
mh_p110_000000003236	spaS222_000000006029	spaS222	4538	1
mh_p110_000000003236	spaS30_000000006746	spaS30	4538	1
mh_p110_000000003243	mh_p110_000000003243	mh_p110	2418	1
mh_p110_000000003243	spaS30_000000013295	spaS30	2418	1
mh_p110_000000003246	mh_p110_000000003246	mh_p110	1065	0
mh_p110_000000003248	mh_p110_000000003248	mh_p110	1172	0
mh_p110_000000003251	mh_p110_000000003251	mh_p110	1285	0
mh_p110_000000003256	mh_p110_000000003256	mh_p110	5418	1
mh_p110_000000003256	spaS222_000000005514	spaS222	5020	1
mh_p110_000000003262	mh_p110_000000003262	mh_p110	1042	0
mh_p110_000000003263	mh_p110_000000003263	mh_p110	1939	0
mh_p110_000000003264	mh_p110_000000003264	mh_p110	1218	0
mh_p110_000000003268	mh_p110_000000003268	mh_p110	2197	0
mh_p110_000000003270	mh_p110_000000003270	mh_p110	1111	0
mh_p110_000000003275	mh_p110_000000003275	mh_p110	1295	1
mh_p110_000000003275	spaS30_000000031977	spaS30	1115	1
mh_p110_000000003276	mh_p110_000000003276	mh_p110	1789	0
mh_p110_000000003280	mh_p110_000000003280	mh_p110	1722	1
mh_p110_000000003280	spaS37_000000017719	spaS37	1667	1
mh_p110_000000003281	mh_p110_000000003281	mh_p110	1794	0
mh_p110_000000003284	mh_p110_000000003284	mh_p110	4737	0
mh_p110_000000003288	mh_p110_000000003288	mh_p110	1197	1
mh_p110_000000003288	spaS222_000000020712	spaS222	1197	1
mh_p110_000000003289	mh_p110_000000003289	mh_p110	2218	0
mh_p110_000000003292	mh_p110_000000003292	mh_p110	2035	0
mh_p110_000000004585	mh_p110_000000004585	mh_p110	1435	0
mh_p110_000000004593	mh_p110_000000004593	mh_p110	88935	0
mh_p110_000000004597	mh_p110_000000004597	mh_p110	5595	0
mh_p110_000000004598	mh_p110_000000004598	mh_p110	1017	0
mh_p110_000000004601	mh_p110_000000004601	mh_p110	54728	0
mh_p110_000000004602	mh_p110_000000004602	mh_p110	1523	0
mh_p110_000000004605	mh_p110_000000004605	mh_p110	42176	0
mh_p110_000000004609	mh_p110_000000004609	mh_p110	1291	0
mh_p110_000000004612	mh_p110_000000004612	mh_p110	3368	0
mh_p110_000000004613	mh_p110_000000004613	mh_p110	1091	0
mh_p110_000000004615	mh_p110_000000004615	mh_p110	1393	0
mh_p110_000000004616	mh_p110_000000004616	mh_p110	1324	0
mh_p110_000000004617	mh_p110_000000004617	mh_p110	1605	0
mh_p110_000000004622	mh_p110_000000004622	mh_p110	1152	0
mh_p110_000000004624	mh_p110_000000004624	mh_p110	9003	1
mh_p110_000000004624	spaS37_000000003562	spaS37	8494	1
mh_p110_000000004626	mh_p110_000000004626	mh_p110	2972	0
mh_p110_000000004628	mh_p110_000000004628	mh_p110	1176	0
mh_p110_000000004629	mh_p110_000000004629	mh_p110	3475	0
mh_p110_000000004632	mh_p110_000000004632	mh_p110	1076	0
mh_p110_000000004636	mh_p110_000000004636	mh_p110	16907	0
mh_p110_000000004637	mh_p110_000000004637	mh_p110	1383	0
mh_p110_000000004638	mh_p110_000000004638	mh_p110	5213	1
mh_p110_000000004638	spaS30_000000006471	spaS30	4746	1
mh_p110_000000004639	mh_p110_000000004639	mh_p110	1342	0
mh_p110_000000004641	mh_p110_000000004641	mh_p110	1088	1
mh_p110_000000004641	spaS222_000000024212	spaS222	1033	1
mh_p110_000000004645	mh_p110_000000004645	mh_p110	1643	0
mh_p110_000000004647	mh_p110_000000004647	mh_p110	2112	0
mh_p110_000000004649	mh_p110_000000004649	mh_p110	1548	0
mh_p110_000000004650	mh_p110_000000004650	mh_p110	16431	0
mh_p110_000000004651	mh_p110_000000004651	mh_p110	52879	0
mh_p110_000000004653	mh_p110_000000004653	mh_p110	1193	0
mh_p110_000000004655	mh_p110_000000004655	mh_p110	2500	0
mh_p110_000000004657	mh_p110_000000004657	mh_p110	1440	0
mh_p110_000000004664	mh_p110_000000004664	mh_p110	1290	1
mh_p110_000000004664	spaS222_000000019216	spaS222	1290	1
mh_p110_000000004669	mh_p110_000000004669	mh_p110	1150	0
mh_p110_000000004670	mh_p110_000000004670	mh_p110	2296	0
mh_p110_000000004671	mh_p110_000000004671	mh_p110	1521	0
mh_p110_000000004673	mh_p110_000000004673	mh_p110	1379	0
mh_p110_000000004677	mh_p110_000000004677	mh_p110	2454	0
mh_p110_000000004679	mh_p110_000000004679	mh_p110	42829	1
mh_p110_000000004679	spaS37_000000000766	spaS37	40734	1
mh_p110_000000004681	mh_p110_000000004681	mh_p110	2141	0
mh_p110_000000004682	mh_p110_000000004682	mh_p110	11843	0
mh_p110_000000004683	mh_p110_000000004683	mh_p110	8375	0
mh_p110_000000004684	mh_p110_000000004684	mh_p110	1558	0
mh_p110_000000004685	mh_p110_000000004685	mh_p110	7046	1
mh_p110_000000004685	spaS30_000000004702	spaS30	6703	1
mh_p110_000000004687	mh_p110_000000004687	mh_p110	1319	0
mh_p110_000000004688	mh_p110_000000004688	mh_p110	4350	0
mh_p110_000000004690	mh_p110_000000004690	mh_p110	1947	0
mh_p110_000000004691	mh_p110_000000004691	mh_p110	1000	0
mh_p110_000000004693	mh_p110_000000004693	mh_p110	21629	1
mh_p110_000000004693	spaS37_000000001682	spaS37	19270	1
mh_p110_000000004695	mh_p110_000000004695	mh_p110	1346	1
mh_p110_000000004695	spaS30_000000029872	spaS30	1182	1
mh_p110_000000004702	mh_p110_000000004702	mh_p110	15386	0
mh_p110_000000004703	mh_p110_000000004703	mh_p110	1204	0
mh_p110_000000004706	mh_p110_000000004706	mh_p110	1276	0
mh_p110_000000004708	mh_p110_000000004708	mh_p110	4863	0
mh_p110_000000004709	mh_p110_000000004709	mh_p110	8985	0
mh_p110_000000004713	mh_p110_000000004713	mh_p110	1215	0
mh_p110_000000004715	mh_p110_000000004715	mh_p110	4146	0
mh_p110_000000004716	mh_p110_000000004716	mh_p110	2569	1
mh_p110_000000004716	spaS30_000000013336	spaS30	2412	1
mh_p110_000000004717	mh_p110_000000004717	mh_p110	1163	0
mh_p110_000000004719	mh_p110_000000004719	mh_p110	1127	0
mh_p110_000000004721	mh_p110_000000004721	mh_p110	1347	1
mh_p110_000000004721	spaS222_000000019331	spaS222	1283	1
mh_p110_000000004722	mh_p110_000000004722	mh_p110	2044	0
mh_p110_000000004723	mh_p110_000000004723	mh_p110	1906	0
mh_p110_000000004724	mh_p110_000000004724	mh_p110	1006	1
mh_p110_000000004724	spaS222_000000024917	spaS222	1006	1
mh_p110_000000004725	mh_p110_000000004725	mh_p110	1833	0
mh_p110_000000004726	mh_p110_000000004726	mh_p110	1177	1
mh_p110_000000004726	spaS30_000000031429	spaS30	1133	1
mh_p110_000000004727	mh_p110_000000004727	mh_p110	1121	0
mh_p110_000000004729	mh_p110_000000004729	mh_p110	1649	0
mh_p110_000000004730	mh_p110_000000004730	mh_p110	6113	0
mh_p110_000000004735	mh_p110_000000004735	mh_p110	46798	1
mh_p110_000000004735	spaS37_000000000738	spaS37	41597	1
mh_p110_000000004738	mh_p110_000000004738	mh_p110	1384	1
mh_p110_000000004738	spaS30_000000031742	spaS30	1123	1
mh_p110_000000004741	mh_p110_000000004741	mh_p110	2118	0
mh_p110_000000004743	mh_p110_000000004743	mh_p110	1037	0
mh_p110_000000004750	mh_p110_000000004750	mh_p110	2021	0
mh_p110_000000004756	mh_p110_000000004756	mh_p110	2277	0
mh_p110_000000004758	mh_p110_000000004758	mh_p110	2483	0
mh_p110_000000004760	mh_p110_000000004760	mh_p110	1723	0
mh_p110_000000004761	mh_p110_000000004761	mh_p110	2417	0
mh_p110_000000004762	mh_p110_000000004762	mh_p110	1188	0
mh_p110_000000004764	mh_p110_000000004764	mh_p110	1810	0
mh_p110_000000004765	mh_p110_000000004765	mh_p110	1282	0
mh_p110_000000004766	mh_p110_000000004766	mh_p110	57406	0
mh_p110_000000004770	mh_p110_000000004770	mh_p110	14651	0
mh_p110_000000004772	mh_p110_000000004772	mh_p110	2682	0
mh_p110_000000004774	mh_p110_000000004774	mh_p110	2718	0
mh_p110_000000004777	mh_p110_000000004777	mh_p110	2520	0
mh_p110_000000004781	mh_p110_000000004781	mh_p110	13405	1
mh_p110_000000004781	spaS223_000000002298	spaS223	12523	1
mh_p110_000000006018	mh_p110_000000006018	mh_p110	2439	0
mh_p110_000000006021	mh_p110_000000006021	mh_p110	12254	0
mh_p110_000000006024	mh_p110_000000006024	mh_p110	1432	0
mh_p110_000000006025	mh_p110_000000006025	mh_p110	1464	0
mh_p110_000000006027	mh_p110_000000006027	mh_p110	6328	0
mh_p110_000000006031	mh_p110_000000006031	mh_p110	141642	1
mh_p110_000000006031	spaS37_000000000082	spaS37	141363	1
mh_p110_000000006031	spaS30_000000000100	spaS30	141363	1
mh_p110_000000006033	mh_p110_000000006033	mh_p110	17477	0
mh_p110_000000006035	mh_p110_000000006035	mh_p110	2142	0
mh_p110_000000006038	mh_p110_000000006038	mh_p110	1429	0
