amr_gene	aro_call	n_samples
spaS138___90769	vanY gene in vanA cluster	126
spaS145___118412	vanTr gene in vanL cluster	126
spaS215___14589	vanW gene in vanI cluster	126
spaS257___114455	Escherichia coli acrA	126
mh_p341___232015	ErmF	125
spaS103___3694	emrB	125
spaS136___55556	mdtB	125
spaS257___123390	PmrF	125
mh_p110___57408	vanY gene in vanB cluster	124
mh_p523___189616	tet(Q)	124
spaS257___111951	msbA	124
spaS258___67383	vanW gene in vanG cluster	124
spaS35___105350	vanY gene in vanF cluster	124
mh_p110___119459	tet(Q)	123
mh_p125___292993	vanW gene in vanI cluster	123
spaS268___124325	vanW gene in vanI cluster	123
mh_p110___295519	vanT gene in vanG cluster	122
spaS100___78872	vanY gene in vanB cluster	122
spaS103___7103	baeS	122
spaS116___53374	mdtA	122
spaS80___73189	vanT gene in vanG cluster	122
spaS110___75120	AcrS	121
spaS257___70155	leuO	121
mh_p125___292984	vanY gene in vanB cluster	120
spaS268___185191	vanW gene in vanI cluster	120
mh_p722___45167	YojI	119
spaS257___114454	Escherichia coli AcrAB-TolC with AcrR mutation conferring resistance to ciprofloxacin, tetracycline, and ceftazidime	119
spaS80___80085	Escherichia coli mdfA	119
mh_p125___219286	tet(36)	118
spaS84___51902	EC-19	118
mh_p110___228965	tet(M)	117
spaS103___928	evgS	117
spaS257___53678	mdtH	117
spaS257___92907	vanG	117
spaS103___930	emrK	116
spaS107___41532	vanT gene in vanG cluster	116
spaS183___126015	vanY gene in vanB cluster	116
spaS135___130202	vanG	115
spaS159___37552	emrY	115
spaS257___138407	TolC	115
spaS280___68784	mdtG	115
mh_p110___60288	vanW gene in vanI cluster	114
mh_p110___61948	vanW gene in vanI cluster	114
spaS103___6157	kdpE	114
mh_p125___117577	vanT gene in vanG cluster	113
spaS168___138692	vanW gene in vanI cluster	113
spaS260___59499	vanT gene in vanG cluster	113
spaS267___181977	Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin	113
spaS25___40389	vanY gene in vanB cluster	112
spaS7___105482	vanW gene in vanB cluster	112
mh_p110___18999	vanT gene in vanG cluster	111
mh_p813___409092	bacA	111
spaS238___59977	vanT gene in vanG cluster	111
spaS257___77645	Klebsiella pneumoniae KpnF	111
mh_p110___197667	vanT gene in vanG cluster	110
mh_p110___305203	vanT gene in vanG cluster	110
spaS122___115380	H-NS	110
spaS258___61484	vanT gene in vanG cluster	110
spaS268___151028	vanT gene in vanG cluster	109
mh_p110___126909	vanH gene in vanO cluster	107
mh_p110___71809	vanG	107
spaS209___98169	Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline	107
spaS257___103567	evgA	106
spaS257___177144	marA	106
spaS258___105776	vanG	106
spaS268___101564	vanW gene in vanI cluster	106
spaS56___31951	vanT gene in vanG cluster	106
spaS15___95675	SAT-4	104
spaS257___77644	Klebsiella pneumoniae KpnE	104
spaS258___73965	vanY gene in vanG cluster	103
mh_p110___65313	tet(Q)	102
spaS7___96312	eptA	102
spaS224___55055	vanT gene in vanG cluster	101
mh_p110___240411	vanW gene in vanI cluster	99
mh_p125___238155	vanH gene in vanO cluster	99
spaS205___42019	mdtM	99
spaS223___141508	vanY gene in vanG cluster	99
mh_p728___282004	vanW gene in vanI cluster	98
mh_p728___47276	vanT gene in vanG cluster	98
spaS257___153652	ugd	98
mh_p125___116546	vanT gene in vanG cluster	97
spaS205___104075	vanW gene in vanI cluster	97
spaS52___145628	vanG	96
mh_p110___168334	vanY gene in vanF cluster	95
spaS79___58953	vanT gene in vanG cluster	94
mh_p125___142416	adeF	93
mh_p110___210735	vanT gene in vanG cluster	92
mh_p110___280436	vanW gene in vanI cluster	92
mh_p860___82341	vanH gene in vanB cluster	92
spaS272___21450	adeF	92
mh_p110___253639	vanH gene in vanO cluster	91
mh_p125___258203	vanY gene in vanF cluster	91
mh_p341___63845	vanT gene in vanG cluster	91
spaS228___46969	tet(M)	91
spaS96___78505	vanT gene in vanG cluster	91
mh_p110___111603	vanT gene in vanG cluster	90
mh_p110___139114	adeF	90
spaS216___122567	vanG	90
spaS140___103664	vanW gene in vanI cluster	89
spaS269___221190	vanY gene in vanM cluster	89
spaS113___81095	Erm(49)	88
spaS124___106158	Campylobacter coli chloramphenicol acetyltransferase	88
spaS282___132579	vanT gene in vanG cluster	88
spaS59___94408	vanW gene in vanI cluster	88
mh_p110___154160	vanY gene in vanB cluster	87
spaS216___112560	tet(36)	87
spaS282___93890	vanW gene in vanI cluster	87
mh_p110___313104	vanT gene in vanG cluster	86
spaS133___77041	vanW gene in vanI cluster	86
spaS257___149081	vanW gene in vanI cluster	85
mh_p110___126313	vanW gene in vanI cluster	84
mh_p110___298423	nimA	84
mh_p125___91697	vanW gene in vanI cluster	84
mh_p110___285798	poxtA	83
mh_p125___211326	vanT gene in vanG cluster	83
mh_p292___164528	poxtA	82
spaS222___100548	vanW gene in vanI cluster	82
spaS268___45203	Escherichia coli UhpT with mutation conferring resistance to fosfomycin	82
spaS213___40850	vanT gene in vanG cluster	81
spaS215___54592	nimG	81
mh_p110___160577	vanXY gene in vanG cluster	80
spaS187___66416	gadW	79
spaS228___57766	vanW gene in vanI cluster	79
mh_p110___206472	vanW gene in vanI cluster	78
mh_p110___45059	vanT gene in vanG cluster	78
mh_p110___60943	adeF	77
spaS268___174175	vanW gene in vanI cluster	77
mh_p125___90694	vanT gene in vanG cluster	76
spaS120___60478	vanW gene in vanI cluster	75
spaS215___163184	tet(Q)	74
mh_p125___156864	vanW gene in vanI cluster	73
spaS257___166400	tetB(P)	73
spaS276___117568	vanT gene in vanG cluster	72
spaS37___25571	vanW gene in vanI cluster	72
mh_p125___189393	vanT gene in vanG cluster	71
mh_p125___275430	vanH gene in vanB cluster	71
mh_p341___257802	vanT gene in vanG cluster	71
mh_p398___216294	vanY gene in vanB cluster	71
mh_p110___152782	vanH gene in vanO cluster	70
mh_p110___152783	vanY gene in vanM cluster	69
mh_p292___237226	vanW gene in vanI cluster	68
spaS58___55876	tet(Q)	68
mh_p110___154007	vanY gene in vanG cluster	67
spaS184___7762	lmrD	67
spaS84___65626	Escherichia coli emrE	67
mh_p110___130307	vanT gene in vanG cluster	66
mh_p125___90886	vanY gene in vanG cluster	66
spaS223___19480	vanT gene in vanG cluster	66
spaS257___237614	gadX	66
mh_p125___229690	vanT gene in vanG cluster	65
mh_p728___162604	vanT gene in vanG cluster	65
spaS18___94929	vanT gene in vanG cluster	65
mh_p110___274689	ErmQ	64
spaS279___63083	vanW gene in vanI cluster	64
mh_p110___15608	vanW gene in vanI cluster	63
mh_p110___262319	vanT gene in vanG cluster	63
mh_p125___118782	tet(36)	63
mh_p125___222877	vanG	63
mh_p523___149226	vanW gene in vanI cluster	63
spaS104___5876	lnuC	63
spaS24___76013	Escherichia coli cyaA with mutation conferring resistance to fosfomycin	63
spaS81___73862	vanT gene in vanG cluster	63
mh_p110___136028	vanW gene in vanI cluster	62
mh_p110___136762	vanH gene in vanB cluster	62
mh_p125___121489	qacG	62
mh_p341___221414	vanY gene in vanF cluster	62
mh_p341___236220	vanY gene in vanA cluster	62
mh_p584___4124	tet(Q)	62
spaS174___176739	vanW gene in vanI cluster	62
spaS184___96747	vanT gene in vanG cluster	62
spaS238___42228	vanW gene in vanI cluster	62
spaS257___160881	Escherichia coli UhpT with mutation conferring resistance to fosfomycin	62
spaS281___51793	vanY gene in vanA cluster	62
mh_p110___205338	tet(Q)	61
mh_p292___45991	vanY gene in vanB cluster	61
mh_p341___75616	vanW gene in vanI cluster	61
spaS196___101720	vanY gene in vanG cluster	61
spaS202___130727	vanH gene in vanO cluster	61
spaS210___151392	vanT gene in vanG cluster	61
spaS239___82814	vanY gene in vanM cluster	61
spaS30___117964	tet(X)	61
spaS54___90300	vanT gene in vanG cluster	61
spaS259___135376	vanT gene in vanC cluster	60
mh_p110___54250	vanY gene in vanA cluster	59
mh_p110___86200	vanT gene in vanG cluster	59
mh_p110___99282	vanT gene in vanG cluster	59
mh_p341___72273	vanT gene in vanG cluster	59
spaS118___31646	vanT gene in vanG cluster	59
spaS150___75382	tet(Q)	59
spaS215___62593	vanT gene in vanG cluster	59
spaS223___94247	vanW gene in vanI cluster	59
spaS259___170239	vanG	59
spaS278___70599	vanW gene in vanI cluster	59
spaS59___136742	vanG	59
mh_p110___116616	vanT gene in vanG cluster	58
mh_p125___143600	vanT gene in vanG cluster	58
mh_p292___133124	TEM-1	58
mh_p722___71954	qacG	58
spaS161___93308	vanG	58
spaS171___2206	vanG	58
spaS223___24713	vanY gene in vanB cluster	58
spaS223___24740	vanY gene in vanF cluster	58
mh_p110___235557	vanW gene in vanI cluster	57
mh_p125___78778	vanY gene in vanB cluster	57
spaS116___75721	vanXY gene in vanG cluster	57
spaS177___71125	Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics	57
spaS209___30389	vanW gene in vanI cluster	57
spaS259___106091	adeF	57
spaS259___117828	vanT gene in vanG cluster	57
mh_p110___234882	vanT gene in vanG cluster	56
mh_p110___289243	vanG	56
mh_p110___66809	vanW gene in vanI cluster	56
spaS118___52145	adeF	56
spaS123___79567	vanY gene in vanB cluster	56
spaS207___48092	vanT gene in vanG cluster	56
spaS257___141083	vanT gene in vanG cluster	56
spaS257___236367	aad(6)	56
spaS35___101427	vanT gene in vanG cluster	56
spaS215___139077	Erm(52)	55
spaS223___44316	vanY gene in vanA cluster	55
spaS225___62737	tet(W/N/W)	55
spaS257___121615	vanW gene in vanI cluster	55
spaS265___22752	mdeA	55
mh_p110___231161	vanW gene in vanI cluster	54
mh_p110___285350	vanY gene in vanB cluster	54
spaS103___5340	gadX	54
spaS130___36949	vanG	54
spaS258___8315	vanW gene in vanG cluster	54
spaS66___107746	vanY gene in vanG cluster	54
mh_p125___23340	vanY gene in vanB cluster	53
spaS178___128151	vanT gene in vanG cluster	53
spaS118___97576	vanY gene in vanG cluster	52
spaS223___31436	vanY gene in vanF cluster	52
spaS257___47823	adeF	52
spaS257___69842	vanY gene in vanB cluster	52
mh_p110___171178	vanY gene in vanB cluster	51
mh_p110___208121	vanT gene in vanG cluster	51
spaS223___151291	aad(6)	51
spaS257___60392	vanG	51
spaS257___60393	vanXY gene in vanG cluster	51
spaS258___45015	vanY gene in vanB cluster	51
spaS259___157404	tet(44)	51
spaS259___166726	ErmX	51
spaS259___170484	vanW gene in vanI cluster	51
spaS267___147114	vanW gene in vanI cluster	51
spaS269___181947	vanW gene in vanI cluster	51
spaS287___238043	vanW gene in vanI cluster	51
spaS98___32207	vanT gene in vanG cluster	51
mh_p110___122076	vanT gene in vanG cluster	50
mh_p110___171297	vanG	50
mh_p110___208119	vanG	50
spaS19___108415	vanXY gene in vanG cluster	50
spaS282___164301	vanW gene in vanI cluster	50
mh_p110___235877	tet(36)	49
mh_p292___254977	vanY gene in vanB cluster	49
spaS118___73026	adeF	49
spaS257___53996	vanT gene in vanG cluster	49
spaS257___85806	adeF	49
spaS258___125618	vanY gene in vanB cluster	49
spaS50___95279	vanT gene in vanG cluster	49
mh_p125___193325	vanY gene in vanG cluster	48
spaS221___113281	vanH gene in vanO cluster	48
spaS259___151567	vanT gene in vanG cluster	48
mh_p341___202537	vanW gene in vanI cluster	47
spaS147___80373	poxtA	47
spaS216___91128	vanH gene in vanO cluster	47
spaS223___31464	vanY gene in vanB cluster	47
spaS267___89906	vanW gene in vanI cluster	47
spaS284___132780	vanT gene in vanG cluster	47
spaS61___145592	vanY gene in vanF cluster	47
mh_p110___171296	vanXY gene in vanG cluster	46
mh_p110___25662	poxtA	46
spaS257___104599	vanY gene in vanG cluster	46
spaS257___154300	vanY gene in vanB cluster	46
spaS257___60394	vanT gene in vanG cluster	46
spaS257___76556	vanW gene in vanI cluster	46
spaS267___101841	vanW gene in vanI cluster	46
spaS282___79676	tet(M)	46
spaS88___93422	vanT gene in vanG cluster	46
mh_p470___57419	tet(36)	45
mh_p523___110445	vanH gene in vanO cluster	45
mh_p644___82345	vanY gene in vanB cluster	45
spaS118___97382	vanY gene in vanG cluster	45
spaS201___117020	vanY gene in vanG cluster	45
spaS215___2613	vanW gene in vanI cluster	45
spaS222___141213	catP	45
spaS257___60070	tet(Q)	45
spaS257___94209	vanT gene in vanG cluster	45
spaS259___132980	vanY gene in vanG cluster	45
spaS267___120051	vanW gene in vanI cluster	45
spaS267___163567	vanT gene in vanG cluster	45
spaS282___178330	vanW gene in vanI cluster	45
mh_p110___156006	vanW gene in vanI cluster	44
mh_p292___109764	Klebsiella pneumoniae KpnH	43
mh_p398___195467	aadS	43
spaS223___85284	vanY gene in vanG cluster	43
spaS257___133542	Escherichia coli PtsI with mutation conferring resistance to fosfomycin	43
spaS257___230463	vanT gene in vanG cluster	43
spaS257___89784	vanT gene in vanG cluster	43
mh_p110___284171	vanY gene in vanG cluster	42
mh_p125___179923	vanT gene in vanG cluster	42
mh_p125___225480	qacG	42
spaS211___100118	vanW gene in vanI cluster	42
spaS257___113004	mefH	42
spaS257___41003	vanY gene in vanB cluster	42
spaS258___17148	vanG	42
spaS268___43534	Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics	42
spaS294___21496	vanH gene in vanF cluster	42
spaS298___114795	vanH gene in vanO cluster	42
mh_p110___100105	vanG	41
mh_p110___285747	vanW gene in vanI cluster	41
mh_p125___56341	vanT gene in vanG cluster	41
mh_p292___112635	vanG	41
spaS153___49863	vanW gene in vanI cluster	41
spaS156___118811	vanT gene in vanG cluster	41
spaS257___108034	nimG	41
spaS257___152631	vanT gene in vanG cluster	41
spaS257___84342	vanW gene in vanI cluster	41
spaS286___237752	vanH gene in vanB cluster	41
mh_p110___247594	vanT gene in vanG cluster	40
mh_p292___172152	vanW gene in vanI cluster	39
spaS141___65888	vanW gene in vanI cluster	39
spaS215___55494	vanY gene in vanA cluster	39
spaS215___75673	vanY gene in vanF cluster	39
spaS221___95681	vanW gene in vanI cluster	39
spaS24___60450	adeF	39
spaS257___119420	vanT gene in vanG cluster	39
spaS258___173928	vanW gene in vanI cluster	39
mh_p125___134306	vanY gene in vanB cluster	38
mh_p125___293711	qacG	38
mh_p292___164524	vanT gene in vanG cluster	38
mh_p292___46463	vanW gene in vanI cluster	38
mh_p523___353195	oqxB	38
spaS259___146015	vanT gene in vanG cluster	38
mh_p292___153148	mphA	37
mh_p292___284198	vanT gene in vanG cluster	37
mh_p398___203777	vanY gene in vanB cluster	37
spaS182___99724	vanW gene in vanI cluster	37
spaS215___101285	vanY gene in vanB cluster	37
spaS266___102163	vanW gene in vanI cluster	37
spaS98___27004	ANT(6)-Ib	37
mh_p110___288164	vanW gene in vanB cluster	36
mh_p125___226614	vanW gene in vanB cluster	36
mh_p292___143528	adeF	36
mh_p523___46666	vanY gene in vanF cluster	36
spaS154___67859	vanT gene in vanG cluster	36
spaS184___46248	nimA	36
spaS192___79241	Escherichia coli parC conferring resistance to fluoroquinolones	36
spaS216___155279	vanG	36
spaS24___98152	vanY gene in vanB cluster	36
spaS257___154606	mefH	36
spaS257___31112	vanW gene in vanI cluster	36
spaS257___43775	vanT gene in vanG cluster	36
spaS260___67818	ErmT	36
mh_p110___157705	vanT gene in vanG cluster	35
mh_p110___281780	vanT gene in vanG cluster	35
mh_p125___236208	vanW gene in vanI cluster	35
mh_p125___281053	tet(36)	35
mh_p125___3625	vanY gene in vanB cluster	35
mh_p292___153147	Mrx	35
mh_p341___125110	sul2	35
mh_p408___61422	vanW gene in vanI cluster	35
mh_p470___17502	gadW	35
spaS100___47721	vanT gene in vanG cluster	35
spaS228___69025	vanT gene in vanG cluster	35
spaS257___189876	vanW gene in vanI cluster	35
spaS257___33597	vanT gene in vanG cluster	35
spaS267___117807	tet(36)	35
spaS39___49352	vanG	35
mh_p110___134892	vanW gene in vanI cluster	34
mh_p110___163202	vanT gene in vanG cluster	34
mh_p110___79965	vanY gene in vanB cluster	34
mh_p125___134595	vanW gene in vanG cluster	34
mh_p125___58329	vanY gene in vanB cluster	34
mh_p292___339702	adeF	34
mh_p341___125114	tet(A)	34
mh_p523___300828	vanY gene in vanM cluster	34
spaS141___82523	vanW gene in vanI cluster	34
spaS285___126620	vanY gene in vanB cluster	34
spaS34___89520	vanY gene in vanB cluster	34
spaS44___101105	qacG	34
spaS74___83659	vanY gene in vanG cluster	34
spaS85___106610	vanY gene in vanM cluster	34
mh_p110___200721	vanW gene in vanI cluster	33
mh_p110___90093	catS	33
mh_p125___114913	vanT gene in vanG cluster	33
mh_p125___149881	vanH gene in vanO cluster	33
mh_p292___223671	vanT gene in vanG cluster	33
mh_p292___237153	vanY gene in vanM cluster	33
mh_p292___280728	vanY gene in vanB cluster	33
mh_p292___285131	vanT gene in vanG cluster	33
mh_p292___7048	vanW gene in vanI cluster	33
mh_p398___244233	FosXCC	33
spaS102___79846	tetA(46)	33
spaS205___17508	Escherichia coli gyrA conferring resistance to fluoroquinolones	33
mh_p110___146450	vanT gene in vanG cluster	32
mh_p125___167368	vanW gene in vanI cluster	32
mh_p398___8705	vanY gene in vanB cluster	32
mh_p408___122334	vanT gene in vanG cluster	32
spaS127___100477	poxtA	32
spaS186___102516	vanG	32
spaS215___124066	vanT gene in vanG cluster	32
spaS258___93477	vanW gene in vanI cluster	32
mh_p110___240359	vanG	31
mh_p110___282322	vanY gene in vanM cluster	31
mh_p125___90324	vanW gene in vanI cluster	31
mh_p398___102653	vanW gene in vanI cluster	31
mh_p813___176434	Morganella morganii gyrB conferring resistance to fluoroquinolones	31
spaS184___138457	tet(O)	31
spaS257___13764	vanT gene in vanG cluster	31
spaS257___23240	vanH gene in vanO cluster	31
spaS259___128855	AAC(6')-Ie-APH(2'')-Ia bifunctional protein	31
mh_p110___117516	vanY gene in vanG cluster	30
mh_p110___247147	vanW gene in vanI cluster	30
mh_p110___275393	vanG	30
mh_p110___275506	vanT gene in vanG cluster	30
mh_p110___32099	vanW gene in vanI cluster	30
mh_p125___141214	vanT gene in vanG cluster	30
mh_p341___48422	vanW gene in vanI cluster	30
mh_p860___18379	tet(36)	30
spaS209___16970	vanW gene in vanI cluster	30
spaS215___31570	vanY gene in vanF cluster	30
spaS257___52108	tet(36)	30
spaS267___2957	vanW gene in vanI cluster	30
spaS98___26541	vanY gene in vanM cluster	30
mh_p110___143221	nimJ	29
mh_p110___263735	vanY gene in vanB cluster	29
mh_p341___37195	adeF	29
mh_p341___78733	vanT gene in vanG cluster	29
mh_p398___205363	vanT gene in vanG cluster	29
mh_p408___114823	vanXY gene in vanG cluster	29
mh_p523___149761	vanW gene in vanI cluster	29
spaS171___18313	vanT gene in vanG cluster	29
spaS171___65199	vanY gene in vanF cluster	29
spaS202___17927	vanW gene in vanI cluster	29
spaS44___58879	vanH gene in vanO cluster	29
spaS81___105979	tet(Q)	29
mh_p110___162948	vanT gene in vanG cluster	28
mh_p110___162951	poxtA	28
mh_p110___192390	vanW gene in vanI cluster	28
mh_p110___213890	vanY gene in vanB cluster	28
mh_p110___85010	vanT gene in vanG cluster	28
mh_p292___339557	adeF	28
mh_p292___446223	vanW gene in vanI cluster	28
mh_p341___127473	sul1	28
mh_p523___201015	vanW gene in vanI cluster	28
mh_p523___25991	ramA	28
mh_p789___217401	vanT gene in vanG cluster	28
mh_p813___506763	acrB	28
spaS135___98248	tet(36)	28
spaS258___139676	vanW gene in vanI cluster	28
spaS261___54676	vanW gene in vanI cluster	28
spaS268___137240	bacA	28
spaS300___207722	vanH gene in vanB cluster	28
spaS74___108074	vanY gene in vanM cluster	28
spaS98___20974	mdeA	28
mh_p110___120739	vanT gene in vanG cluster	27
mh_p110___132302	vanY gene in vanB cluster	27
mh_p110___170269	vanT gene in vanG cluster	27
mh_p408___49825	mefH	27
mh_p523___244642	vanG	27
spaS102___64333	vanW gene in vanI cluster	27
spaS154___62570	vanT gene in vanG cluster	27
spaS184___131760	vanW gene in vanI cluster	27
spaS215___160648	vanT gene in vanG cluster	27
spaS268___121005	adeF	27
mh_p110___174791	vanY gene in vanF cluster	26
mh_p125___249107	vanT gene in vanG cluster	26
mh_p341___91126	CfxA2	26
mh_p470___158582	vanG	26
mh_p523___244641	vanT gene in vanG cluster	26
mh_p523___371746	vanH gene in vanO cluster	26
mh_p813___170333	vanW gene in vanG cluster	26
spaS215___170295	vanT gene in vanG cluster	26
spaS228___53976	vanT gene in vanG cluster	26
spaS257___174063	nimA	26
spaS257___61357	adeF	26
spaS258___227669	vanY gene in vanB cluster	26
spaS258___79316	tet(M)	26
spaS268___243572	Escherichia coli mdfA	26
spaS282___115211	vanW gene in vanI cluster	26
spaS285___117709	vanW gene in vanI cluster	26
spaS44___88309	vanY gene in vanB cluster	26
mh_p110___27848	vanG	25
mh_p110___45414	vanT gene in vanG cluster	25
mh_p292___396879	nimA	25
mh_p341___125112	APH(6)-Id	25
mh_p408___122408	vanW gene in vanI cluster	25
mh_p523___42791	vanY gene in vanB cluster	25
mh_p550___192311	tet(45)	25
spaS154___67515	poxtA	25
spaS15___20395	tet(W)	25
spaS171___86869	APH(3'')-Ib	25
spaS184___44271	vanW gene in vanI cluster	25
spaS184___64971	mdtC	25
spaS186___175392	vanY gene in vanG cluster	25
spaS206___151182	vanW gene in vanB cluster	25
spaS215___75136	adeF	25
spaS257___169275	vanY gene in vanB cluster	25
spaS268___189447	FosA2	25
spaS268___19881	Klebsiella pneumoniae KpnH	25
spaS282___156008	vanW gene in vanI cluster	25
spaS34___82235	vanW gene in vanI cluster	25
spaS84___60703	vanH gene in vanO cluster	25
mh_p110___162725	vanY gene in vanB cluster	24
mh_p110___227021	vanT gene in vanC cluster	24
mh_p110___279093	vanT gene in vanG cluster	24
mh_p110___309250	vanG	24
mh_p110___7009	vanT gene in vanG cluster	24
spaS132___82718	vanW gene in vanI cluster	24
spaS143___62489	vanH gene in vanO cluster	24
spaS169___203960	Escherichia coli soxS with mutation conferring antibiotic resistance	24
spaS184___58348	msbA	24
spaS184___78469	vanT gene in vanG cluster	24
spaS212___53469	vanY gene in vanG cluster	24
spaS213___122940	qacG	24
spaS215___241950	vanY gene in vanB cluster	24
spaS257___38007	adeF	24
spaS258___135173	poxtA	24
spaS268___206655	vanY gene in vanB cluster	24
mh_p110___235414	vanG	23
mh_p110___285167	vanW gene in vanI cluster	23
mh_p125___270977	Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin	23
mh_p292___250075	vanT gene in vanG cluster	23
mh_p408___28857	vanY gene in vanB cluster	23
mh_p523___224976	vanW gene in vanI cluster	23
mh_p813___166281	vanY gene in vanB cluster	23
mh_p813___399112	tet(36)	23
spaS102___28021	vanY gene in vanF cluster	23
spaS103___16450	eptA	23
spaS130___77665	tet(36)	23
spaS184___49678	ACT-74	23
spaS184___64972	mdtB	23
spaS202___110277	vanW gene in vanI cluster	23
spaS215___75140	adeF	23
spaS216___167639	vanT gene in vanG cluster	23
spaS268___19880	Klebsiella pneumoniae KpnG	23
spaS282___165291	vanT gene in vanG cluster	23
spaS48___37085	vanY gene in vanG cluster	23
mh_p110___130666	vanY gene in vanF cluster	22
mh_p110___181135	vanY gene in vanA cluster	22
mh_p125___252970	vanY gene in vanB cluster	22
mh_p292___376305	vanG	22
mh_p398___235979	tet(36)	22
mh_p470___273168	vanT gene in vanG cluster	22
mh_p789___329760	vanY gene in vanA cluster	22
