participant	gene_id	aro_call
p523	mh_p523___161649	vanW gene in vanI cluster
p523	mh_p523___365695	vanT gene in vanG cluster
p523	mh_p523___208297	vanY gene in vanF cluster
p523	mh_p523___270072	vanY gene in vanB cluster
p523	mh_p523___397827	vanY gene in vanG cluster
p523	mh_p523___339884	vanT gene in vanG cluster
p523	mh_p523___339885	vanXY gene in vanG cluster
p523	mh_p523___299027	vanY gene in vanB cluster
p523	mh_p523___131617	vanG
p523	mh_p523___267538	vanT gene in vanG cluster
p523	mh_p523___27784	vanW gene in vanI cluster
p523	mh_p523___193933	vanW gene in vanI cluster
p523	mh_p523___182505	tet(W/N/W)
p523	mh_p523___409283	vanT gene in vanG cluster
p523	mh_p523___112026	vanW gene in vanI cluster
p523	mh_p523___351102	vanW gene in vanI cluster
p523	mh_p523___390183	vanH gene in vanO cluster
p523	mh_p523___263735	vanT gene in vanG cluster
p523	mh_p523___328960	vanT gene in vanG cluster
p523	mh_p523___101630	tet(W/N/W)
p523	mh_p523___312222	vanG
p523	mh_p523___364888	vanT gene in vanG cluster
p523	mh_p523___12744	vanG
p523	mh_p523___407753	patA
p523	mh_p523___84554	vanW gene in vanI cluster
p523	mh_p523___188647	crxA
p523	mh_p523___191184	vanW gene in vanI cluster
p523	mh_p523___281670	vanT gene in vanG cluster
p523	mh_p523___357011	vanH gene in vanO cluster
p523	mh_p523___352415	vanW gene in vanI cluster
p523	mh_p523___166237	vanY gene in vanB cluster
p550	mh_p550___182441	vanW gene in vanI cluster
p550	mh_p550___46567	vanY gene in vanB cluster
p550	mh_p550___53960	vanG
p550	mh_p550___23898	vanW gene in vanI cluster
p550	mh_p550___242138	vanT gene in vanG cluster
p550	mh_p550___224555	vanW gene in vanG cluster
p550	mh_p550___215223	vanY gene in vanA cluster
p550	mh_p550___104217	vanW gene in vanI cluster
p550	mh_p550___220690	vanY gene in vanB cluster
p550	mh_p550___137735	Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics
p550	mh_p550___227996	vanW gene in vanI cluster
p550	mh_p550___195122	nimG
p584	mh_p584___242049	vanW gene in vanI cluster
p584	mh_p584___161300	vanT gene in vanG cluster
p584	mh_p584___242336	vanW gene in vanI cluster
p584	mh_p584___645	vanY gene in vanB cluster
p584	mh_p584___1447	vanW gene in vanI cluster
p584	mh_p584___187869	catQ
p584	mh_p584___194271	vanT gene in vanG cluster
p584	mh_p584___247242	vanY gene in vanG cluster
p584	mh_p584___73906	tet(M)
p584	mh_p584___2645	vanT gene in vanG cluster
p584	mh_p584___212050	vanW gene in vanI cluster
p584	mh_p584___116140	vanW gene in vanI cluster
p584	mh_p584___175274	vanT gene in vanG cluster
p584	mh_p584___73106	vanY gene in vanG cluster
p584	mh_p584___101519	vanY gene in vanB cluster
p601	mh_p601___221068	vanW gene in vanI cluster
p601	mh_p601___288601	vanY gene in vanB cluster
p601	mh_p601___233094	vanH gene in vanO cluster
p601	mh_p601___229069	vanY gene in vanM cluster
p601	mh_p601___295105	vanW gene in vanI cluster
p601	mh_p601___336439	vanS gene in vanC cluster
p601	mh_p601___239616	vanW gene in vanI cluster
p601	mh_p601___68369	vanH gene in vanF cluster
p601	mh_p601___378747	vanG
p601	mh_p601___378748	vanXY gene in vanG cluster
p601	mh_p601___378749	vanT gene in vanG cluster
p601	mh_p601___53759	vanT gene in vanG cluster
p601	mh_p601___142553	vanG
p601	mh_p601___142554	vanXY gene in vanG cluster
p601	mh_p601___249465	vanT gene in vanG cluster
p601	mh_p601___229346	nimB
p601	mh_p601___285610	vanY gene in vanB cluster
p601	mh_p601___134110	vanG
p601	mh_p601___75085	vanG
p601	mh_p601___133681	tet(M)
p601	mh_p601___310227	vanW gene in vanI cluster
p601	mh_p601___264997	tet(M)
p601	mh_p601___264511	tet(W)
p601	mh_p601___234673	vanY gene in vanF cluster
p601	mh_p601___286101	vanXY gene in vanC cluster
p601	mh_p601___286102	vanT gene in vanC cluster
p601	mh_p601___339611	vanT gene in vanG cluster
p601	mh_p601___384413	vanY gene in vanB cluster
p601	mh_p601___352462	vanH gene in vanO cluster
p601	mh_p601___370902	poxtA
p601	mh_p601___287621	vanT gene in vanG cluster
p601	mh_p601___294128	nimG
p601	mh_p601___324802	vanW gene in vanI cluster
p601	mh_p601___226949	vanY gene in vanB cluster
p601	mh_p601___17793	vanY gene in vanF cluster
p601	mh_p601___95616	vanT gene in vanG cluster
p601	mh_p601___346633	tet(M)
p601	mh_p601___61353	vanT gene in vanG cluster
p601	mh_p601___287556	vanY gene in vanG cluster
p601	mh_p601___381608	vanY gene in vanM cluster
p601	mh_p601___205988	vanY gene in vanM cluster
p601	mh_p601___244599	vanT gene in vanG cluster
p644	mh_p644___180533	vanT gene in vanG cluster
p644	mh_p644___250330	vanT gene in vanG cluster
p644	mh_p644___180285	LnuP
p644	mh_p644___54180	vanY gene in vanM cluster
p644	mh_p644___268650	vanY gene in vanA cluster
p644	mh_p644___16927	tet(32)
p644	mh_p644___63144	vanY gene in vanM cluster
p644	mh_p644___173933	vanT gene in vanG cluster
p644	mh_p644___131135	vanY gene in vanG cluster
p644	mh_p644___169302	vanW gene in vanI cluster
p644	mh_p644___187030	vanT gene in vanG cluster
p644	mh_p644___124148	vanW gene in vanI cluster
p644	mh_p644___139918	tet(W)
p644	mh_p644___115209	vanW gene in vanI cluster
p644	mh_p644___51562	vanY gene in vanG cluster
p644	mh_p644___233297	vanY gene in vanG cluster
p644	mh_p644___291918	vanW gene in vanI cluster
p644	mh_p644___141635	vanW gene in vanI cluster
p644	mh_p644___267929	vanW gene in vanI cluster
p644	mh_p644___3514	vanT gene in vanG cluster
p644	mh_p644___97948	vanW gene in vanI cluster
p644	mh_p644___89291	vanG
p644	mh_p644___168286	vanW gene in vanI cluster
p644	mh_p644___94543	vanY gene in vanF cluster
p644	mh_p644___290328	tet(W/N/W)
p722	mh_p722___32626	vanY gene in vanB cluster
p722	mh_p722___217774	vanT gene in vanG cluster
p722	mh_p722___105700	Klebsiella pneumoniae KpnF
p722	mh_p722___34896	dfrF
p722	mh_p722___222338	tet(M)
p722	mh_p722___198974	poxtA
p722	mh_p722___31705	vanW gene in vanI cluster
p722	mh_p722___306768	vanY gene in vanB cluster
p722	mh_p722___222840	vanW gene in vanI cluster
p722	mh_p722___205693	vanT gene in vanG cluster
p722	mh_p722___85815	tet(M)
p722	mh_p722___255616	vanY gene in vanB cluster
p722	mh_p722___333480	vanT gene in vanG cluster
p722	mh_p722___357805	vanY gene in vanB cluster
p722	mh_p722___254887	vanY gene in vanF cluster
p722	mh_p722___57684	tet(W/N/W)
p722	mh_p722___268046	emrR
p722	mh_p722___366605	FosA2
p722	mh_p722___139597	vanW gene in vanI cluster
p722	mh_p722___125802	vanW gene in vanI cluster
p722	mh_p722___339005	poxtA
p722	mh_p722___286592	vanT gene in vanG cluster
p722	mh_p722___71954	qacG
p722	mh_p722___254331	qacG
p722	mh_p722___332883	vanW gene in vanI cluster
p722	mh_p722___333115	Escherichia coli soxS with mutation conferring antibiotic resistance
p722	mh_p722___105699	Klebsiella pneumoniae KpnE
p722	mh_p722___352773	vanY gene in vanB cluster
p722	mh_p722___57227	tetB(P)
p722	mh_p722___57228	tetB(P)
p722	mh_p722___351116	vanY gene in vanG cluster
p728	mh_p728___169313	vanY gene in vanB cluster
p728	mh_p728___283236	tet(32)
p728	mh_p728___158025	vanW gene in vanI cluster
p728	mh_p728___170149	vanY gene in vanB cluster
p728	mh_p728___298689	CDD-1
p728	mh_p728___206008	vanT gene in vanG cluster
p728	mh_p728___35706	tet(W/N/W)
p728	mh_p728___302369	ErmX
p728	mh_p728___162624	nimG
p728	mh_p728___217163	tet(M)
p728	mh_p728___302408	vanY gene in vanB cluster
p789	mh_p789___520859	vanY gene in vanF cluster
p789	mh_p789___387807	vanW gene in vanI cluster
p789	mh_p789___498651	vanT gene in vanG cluster
p789	mh_p789___309154	vanH gene in vanB cluster
p789	mh_p789___314726	vanW gene in vanI cluster
p789	mh_p789___28502	vanY gene in vanB cluster
p789	mh_p789___10007	ErmG
p789	mh_p789___664301	vanW gene in vanI cluster
p789	mh_p789___233935	vanW gene in vanI cluster
p789	mh_p789___546543	nimB
p789	mh_p789___234470	vanY gene in vanA cluster
p789	mh_p789___98098	vanY gene in vanB cluster
p789	mh_p789___351619	tet(36)
p789	mh_p789___267815	vanW gene in vanI cluster
p789	mh_p789___549038	vanT gene in vanG cluster
p789	mh_p789___162134	vanT gene in vanG cluster
p789	mh_p789___335223	vanT gene in vanG cluster
p789	mh_p789___344030	vanT gene in vanG cluster
p789	mh_p789___26682	vanY gene in vanA cluster
p789	mh_p789___540492	vanT gene in vanG cluster
p789	mh_p789___557169	vanY gene in vanB cluster
p789	mh_p789___301288	vanH gene in vanB cluster
p789	mh_p789___311199	vanT gene in vanG cluster
p789	mh_p789___449103	vanW gene in vanI cluster
p789	mh_p789___602663	vanW gene in vanI cluster
p789	mh_p789___480673	vanW gene in vanI cluster
p789	mh_p789___576759	vanT gene in vanG cluster
p789	mh_p789___263722	vanY gene in vanA cluster
p789	mh_p789___275082	vanW gene in vanI cluster
p789	mh_p789___419936	vanY gene in vanM cluster
p789	mh_p789___88472	vanY gene in vanB cluster
p789	mh_p789___230864	vanT gene in vanG cluster
p789	mh_p789___369461	vanW gene in vanI cluster
p789	mh_p789___600934	vanH gene in vanO cluster
p789	mh_p789___545431	vanW gene in vanI cluster
p789	mh_p789___563704	vanT gene in vanG cluster
p789	mh_p789___624570	vanW gene in vanI cluster
p789	mh_p789___635611	vanW gene in vanI cluster
p789	mh_p789___625330	vanY gene in vanB cluster
p789	mh_p789___625331	vanY gene in vanF cluster
p789	mh_p789___418758	vanG
p789	mh_p789___575314	vanW gene in vanI cluster
p789	mh_p789___164423	vanW gene in vanI cluster
p789	mh_p789___414883	vanY gene in vanA cluster
p789	mh_p789___213768	tet(36)
p789	mh_p789___586991	vanY gene in vanG cluster
p789	mh_p789___663943	vanG
p789	mh_p789___71745	vanT gene in vanG cluster
p789	mh_p789___73356	vanG
p789	mh_p789___596343	vanT gene in vanG cluster
p789	mh_p789___470805	vanW gene in vanI cluster
p789	mh_p789___490850	vanT gene in vanG cluster
p789	mh_p789___570965	vanW gene in vanI cluster
p789	mh_p789___360997	vanW gene in vanI cluster
p789	mh_p789___160706	vanW gene in vanI cluster
p789	mh_p789___635480	vanT gene in vanG cluster
p789	mh_p789___537376	vanY gene in vanG cluster
p789	mh_p789___108700	vanW gene in vanI cluster
p789	mh_p789___443845	vanY gene in vanB cluster
p789	mh_p789___272539	vanY gene in vanB cluster
p789	mh_p789___634492	vanW gene in vanI cluster
p789	mh_p789___400021	vanY gene in vanG cluster
p789	mh_p789___304572	vanG
p789	mh_p789___319358	vanW gene in vanI cluster
p789	mh_p789___285072	vanY gene in vanF cluster
p789	mh_p789___291266	vanW gene in vanI cluster
p789	mh_p789___334751	vanW gene in vanI cluster
p789	mh_p789___128563	vanY gene in vanG cluster
p789	mh_p789___321969	vanT gene in vanG cluster
p789	mh_p789___623052	vanW gene in vanI cluster
p789	mh_p789___295193	vanY gene in vanB cluster
p789	mh_p789___413773	vanY gene in vanM cluster
p789	mh_p789___472440	vanW gene in vanI cluster
p789	mh_p789___189975	vanW gene in vanI cluster
p789	mh_p789___637456	vanY gene in vanB cluster
p789	mh_p789___379687	vanT gene in vanG cluster
p789	mh_p789___177358	vanY gene in vanB cluster
p789	mh_p789___343807	vanG
p789	mh_p789___353642	vanT gene in vanG cluster
p789	mh_p789___562116	vanH gene in vanO cluster
p789	mh_p789___291158	vanW gene in vanI cluster
p789	mh_p789___597906	vanY gene in vanB cluster
p813	mh_p813___598037	vanY gene in vanG cluster
p813	mh_p813___137788	vanY gene in vanB cluster
p813	mh_p813___189399	vanW gene in vanI cluster
p813	mh_p813___637194	vanTr gene in vanL cluster
p813	mh_p813___645178	vanW gene in vanI cluster
p813	mh_p813___29875	vanW gene in vanI cluster
p813	mh_p813___452358	Escherichia coli emrE
p813	mh_p813___84686	vanT gene in vanG cluster
p813	mh_p813___823	qacG
p813	mh_p813___358822	vanW gene in vanI cluster
p813	mh_p813___585467	vanT gene in vanG cluster
p813	mh_p813___435253	vanW gene in vanI cluster
p813	mh_p813___17610	vanY gene in vanG cluster
p813	mh_p813___688327	vanW gene in vanI cluster
p813	mh_p813___273465	vanT gene in vanG cluster
p813	mh_p813___293027	vanW gene in vanB cluster
p813	mh_p813___540660	vanY gene in vanB cluster
p813	mh_p813___336343	tet(O)
p813	mh_p813___400766	vanG
p813	mh_p813___575050	vanY gene in vanB cluster
p813	mh_p813___280402	vanT gene in vanG cluster
p813	mh_p813___589550	vanT gene in vanG cluster
p813	mh_p813___521235	vanW gene in vanI cluster
p813	mh_p813___433296	vanT gene in vanG cluster
p813	mh_p813___682959	vanW gene in vanI cluster
p813	mh_p813___286999	vanW gene in vanI cluster
p813	mh_p813___411018	vanW gene in vanI cluster
p813	mh_p813___64874	vanW gene in vanG cluster
p813	mh_p813___219992	vanW gene in vanI cluster
p813	mh_p813___431539	vanW gene in vanI cluster
p813	mh_p813___190788	vanT gene in vanG cluster
p813	mh_p813___85010	vanY gene in vanM cluster
p813	mh_p813___491607	vanY gene in vanB cluster
p813	mh_p813___296038	vanY gene in vanG cluster
p813	mh_p813___108687	vanY gene in vanB cluster
p813	mh_p813___417056	vanY gene in vanM cluster
p813	mh_p813___246084	vanW gene in vanI cluster
p813	mh_p813___464605	vanW gene in vanI cluster
p813	mh_p813___557088	poxtA
p813	mh_p813___156266	vanT gene in vanG cluster
p813	mh_p813___477381	vanW gene in vanI cluster
p813	mh_p813___136759	vanY gene in vanM cluster
p813	mh_p813___142869	vanT gene in vanG cluster
p813	mh_p813___407743	tet(Q)
p813	mh_p813___410153	patA
p813	mh_p813___33112	vanY gene in vanF cluster
p813	mh_p813___33113	vanT gene in vanG cluster
p813	mh_p813___492892	vanW gene in vanI cluster
p813	mh_p813___498565	vanW gene in vanI cluster
p813	mh_p813___133575	vanT gene in vanG cluster
p813	mh_p813___51979	vanW gene in vanI cluster
p813	mh_p813___253608	vanG
p813	mh_p813___445301	vanY gene in vanB cluster
p813	mh_p813___620333	vanW gene in vanI cluster
p813	mh_p813___282413	vanT gene in vanG cluster
p813	mh_p813___627519	vanT gene in vanC cluster
p813	mh_p813___477994	vanY gene in vanG cluster
p813	mh_p813___122682	vanT gene in vanG cluster
p813	mh_p813___645306	vanY gene in vanG cluster
p813	mh_p813___277489	Vibrio anguillarum chloramphenicol acetyltransferase
p813	mh_p813___163278	vanXY gene in vanG cluster
p813	mh_p813___163279	vanG
p813	mh_p813___615844	vanY gene in vanB cluster
p813	mh_p813___624364	vanT gene in vanG cluster
p813	mh_p813___567851	vanW gene in vanI cluster
p813	mh_p813___472329	vanT gene in vanG cluster
p813	mh_p813___573291	vanT gene in vanG cluster
p813	mh_p813___578375	vanY gene in vanG cluster
p813	mh_p813___683893	vanY gene in vanB cluster
p813	mh_p813___616621	vanW gene in vanG cluster
p813	mh_p813___418	vanW gene in vanI cluster
p813	mh_p813___109894	vanY gene in vanB cluster
p813	mh_p813___124213	nimA
p813	mh_p813___488399	vanW gene in vanI cluster
p813	mh_p813___233109	vanT gene in vanG cluster
p860	mh_p860___134772	vanT gene in vanG cluster
p860	mh_p860___8460	vanW gene in vanI cluster
p860	mh_p860___216685	vanY gene in vanF cluster
p860	mh_p860___125246	vanY gene in vanB cluster
p860	mh_p860___275172	vanT gene in vanG cluster
p860	mh_p860___25083	vanY gene in vanM cluster
p860	mh_p860___304393	vanW gene in vanI cluster
p860	mh_p860___250633	vanW gene in vanI cluster
p860	mh_p860___294845	vanT gene in vanG cluster
p860	mh_p860___299823	vanY gene in vanG cluster
p860	mh_p860___301680	vanG
p860	mh_p860___301681	vanT gene in vanG cluster
p860	mh_p860___115761	vanY gene in vanG cluster
p860	mh_p860___5802	vanY gene in vanA cluster
p860	mh_p860___205763	vanT gene in vanG cluster
p860	mh_p860___319439	vanH gene in vanD cluster
p860	mh_p860___105543	poxtA
p860	mh_p860___330276	vanW gene in vanI cluster
p860	mh_p860___215087	vanY gene in vanF cluster
p860	mh_p860___249333	vanY gene in vanM cluster
p860	mh_p860___249335	vanT gene in vanG cluster
p860	mh_p860___38186	vanY gene in vanF cluster
p860	mh_p860___281777	nimJ
p860	mh_p860___138522	vanY gene in vanM cluster
p860	mh_p860___138536	vanW gene in vanI cluster
p860	mh_p860___196764	vanG
p860	mh_p860___206684	vanH gene in vanM cluster
p894	mh_p894___118116	vanY gene in vanG cluster
p894	mh_p894___147999	vanT gene in vanG cluster
p894	mh_p894___290160	vanT gene in vanG cluster
p894	mh_p894___294159	vanW gene in vanI cluster
p894	mh_p894___277747	vanY gene in vanB cluster
p894	mh_p894___80566	ErmG
p894	mh_p894___191213	vanY gene in vanB cluster
p894	mh_p894___169255	vanH gene in vanO cluster
p894	mh_p894___323379	vanT gene in vanG cluster
p894	mh_p894___20293	nimB
p894	mh_p894___57871	vanY gene in vanB cluster
p894	mh_p894___65781	vanW gene in vanI cluster
p894	mh_p894___305569	qacG
p894	mh_p894___72131	vanW gene in vanI cluster
p894	mh_p894___289667	tet(Q)
p894	mh_p894___263144	vanY gene in vanM cluster
p894	mh_p894___241361	vanW gene in vanI cluster
p894	mh_p894___314584	vanY gene in vanM cluster
p894	mh_p894___174932	vanW gene in vanI cluster
p894	mh_p894___53243	vanY gene in vanB cluster
p894	mh_p894___289485	vanW gene in vanI cluster
p894	mh_p894___230315	vanT gene in vanG cluster
p894	mh_p894___167488	vanW gene in vanG cluster
p894	mh_p894___289275	vanW gene in vanI cluster
p894	mh_p894___6123	vanT gene in vanG cluster
p894	mh_p894___218966	vanW gene in vanI cluster
p894	mh_p894___91306	vanH gene in vanB cluster
p894	mh_p894___169195	vanW gene in vanI cluster
p894	mh_p894___82580	vanY gene in vanG cluster
p894	mh_p894___84966	tet(W)
p97	mh_p97___116635	vanY gene in vanG cluster
p97	mh_p97___253048	vanY gene in vanA cluster
p97	mh_p97___233334	vanG
p97	mh_p97___158899	vanW gene in vanI cluster
p97	mh_p97___40513	evgS
