cluster_id	source_group	member_id	call	participant
mh_p125_000000048532	spaS19	spaS19_000000001026	plasmid	p125
spaS51_000000000485	spaS51	spaS51_000000000485	plasmid	p125
spaS51_000000000485	spaS44	spaS44_000000000876	virus	p125
spaS104_000000001852	spaS104	spaS104_000000001852	virus	p125
spaS104_000000001852	spaS74	spaS74_000000002489	plasmid	p125
spaS19_000000009480	mh_p125	mh_p125_000000034838	plasmid	p125
spaS19_000000009480	spaS44	spaS44_000000003946	virus	p125
spaS19_000000003310	spaS19	spaS19_000000003310	virus	p125
spaS19_000000003310	mh_p125	mh_p125_000000018783	plasmid	p125
spaS51_000000002240	spaS51	spaS51_000000002240	virus	p125
spaS51_000000002240	spaS40	spaS40_000000000866	plasmid	p125
spaS51_000000002240	spaS102	spaS102_000000000735	plasmid	p125
spaS51_000000002240	spaS104	spaS104_000000001035	plasmid	p125
spaS74_000000001875	spaS74	spaS74_000000001875	virus	p125
spaS74_000000001875	mh_p125	mh_p125_000000065763	virus	p125
spaS74_000000001875	spaS22	spaS22_000000000398	plasmid	p125
spaS74_000000001875	spaS19	spaS19_000000001007	plasmid	p125
spaS74_000000001875	spaS40	spaS40_000000000422	plasmid	p125
spaS74_000000001875	spaS44	spaS44_000000000589	plasmid	p125
spaS74_000000001875	spaS51	spaS51_000000000449	plasmid	p125
spaS102_000000001818	spaS102	spaS102_000000001818	plasmid	p125
spaS102_000000001818	mh_p125	mh_p125_000000039998	virus	p125
spaS102_000000001818	spaS104	spaS104_000000001576	plasmid	p125
spaS102_000000001836	spaS102	spaS102_000000001836	virus	p125
spaS102_000000001836	mh_p125	mh_p125_000000054386	plasmid	p125
spaS74_000000002404	spaS74	spaS74_000000002404	plasmid	p125
spaS74_000000002404	spaS104	spaS104_000000001423	virus	p125
mh_p125_000000005642	mh_p125	mh_p125_000000005642	plasmid	p125
mh_p125_000000005642	spaS104	spaS104_000000002565	plasmid	p125
mh_p125_000000005642	spaS102	spaS102_000000001315	virus	p125
spaS22_000000001418	spaS22	spaS22_000000001418	virus	p125
spaS22_000000001418	mh_p125	mh_p125_000000034135	plasmid	p125
spaS22_000000001418	spaS19	spaS19_000000004154	virus	p125
spaS22_000000001418	spaS44	spaS44_000000003691	virus	p125
spaS15_000000002716	spaS15	spaS15_000000002716	plasmid	p125
spaS15_000000002716	mh_p125	mh_p125_000000099864	virus	p125
spaS267_000000004501	spaS267	spaS267_000000004501	virus	p142
spaS267_000000004501	spaS258	spaS258_000000001441	plasmid	p142
spaS267_000000004501	spaS259	spaS259_000000004771	virus	p142
spaS259_000000004692	spaS259	spaS259_000000004692	virus	p142
spaS259_000000004692	spaS282	spaS282_000000001329	plasmid	p142
spaS259_000000004713	spaS259	spaS259_000000004713	plasmid	p142
spaS259_000000004713	spaS257	spaS257_000000003880	virus	p142
spaS257_000000004098	spaS267	spaS267_000000003016	plasmid	p142
spaS257_000000004098	spaS258	spaS258_000000003121	virus	p142
spaS269_000000004050	spaS269	spaS269_000000004050	virus	p142
spaS269_000000004050	spaS282	spaS282_000000002893	plasmid	p142
spaS268_000000002665	spaS268	spaS268_000000002665	virus	p142
spaS268_000000002665	spaS269	spaS269_000000000860	plasmid	p142
spaS269_000000003940	spaS269	spaS269_000000003940	virus	p142
spaS269_000000003940	spaS257	spaS257_000000002314	plasmid	p142
spaS269_000000003940	spaS259	spaS259_000000002111	plasmid	p142
spaS259_000000005351	spaS259	spaS259_000000005351	virus	p142
spaS259_000000005351	spaS257	spaS257_000000004449	plasmid	p142
spaS259_000000002957	spaS267	spaS267_000000003583	virus	p142
spaS259_000000002957	spaS269	spaS269_000000002411	plasmid	p142
spaS268_000000009425	spaS267	spaS267_000000005620	plasmid	p142
spaS268_000000009425	spaS258	spaS258_000000006225	virus	p142
spaS268_000000009425	spaS282	spaS282_000000006372	plasmid	p142
spaS259_000000006779	spaS259	spaS259_000000006779	virus	p142
spaS259_000000006779	spaS267	spaS267_000000002194	plasmid	p142
spaS282_000000002621	spaS282	spaS282_000000002621	virus	p142
spaS282_000000002621	spaS269	spaS269_000000001757	plasmid	p142
spaS259_000000003775	spaS257	spaS257_000000002258	plasmid	p142
spaS259_000000003775	spaS258	spaS258_000000001355	plasmid	p142
spaS259_000000003775	spaS267	spaS267_000000003899	virus	p142
spaS268_000000002887	spaS268	spaS268_000000002887	virus	p142
spaS268_000000002887	spaS258	spaS258_000000001556	plasmid	p142
spaS267_000000002703	spaS267	spaS267_000000002703	virus	p142
spaS267_000000002703	spaS259	spaS259_000000000786	plasmid	p142
spaS267_000000002703	spaS257	spaS257_000000000938	plasmid	p142
spaS268_000000004957	spaS268	spaS268_000000004957	plasmid	p142
spaS268_000000004957	spaS257	spaS257_000000001297	virus	p142
spaS118_000000002714	spaS118	spaS118_000000002714	virus	p151
spaS118_000000002714	spaS215	spaS215_000000001630	plasmid	p151
spaS149_000000001656	spaS149	spaS149_000000001656	plasmid	p151
spaS149_000000001656	spaS215	spaS215_000000003048	virus	p151
spaS215_000000004070	spaS215	spaS215_000000004070	virus	p151
spaS215_000000004070	spaS149	spaS149_000000001364	plasmid	p151
spaS215_000000004070	spaS154	spaS154_000000000985	plasmid	p151
spaS118_000000002592	spaS118	spaS118_000000002592	plasmid	p151
spaS118_000000002592	spaS184	spaS184_000000000705	virus	p151
spaS118_000000002592	spaS215	spaS215_000000000835	virus	p151
spaS154_000000002936	spaS154	spaS154_000000002936	plasmid	p151
spaS154_000000002936	spaS118	spaS118_000000001574	virus	p151
spaS154_000000002936	spaS149	spaS149_000000001864	virus	p151
spaS118_000000003263	spaS118	spaS118_000000003263	virus	p151
spaS118_000000003263	spaS184	spaS184_000000001945	plasmid	p151
spaS118_000000003263	spaS215	spaS215_000000002060	plasmid	p151
spaS12_000000002617	spaS12	spaS12_000000002617	virus	p292
spaS12_000000002617	spaS49	spaS49_000000000994	plasmid	p292
spaS12_000000002617	spaS7	spaS7_000000001427	plasmid	p292
spaS49_000000002384	spaS49	spaS49_000000002384	virus	p292
spaS49_000000002384	spaS55	spaS55_000000002318	plasmid	p292
spaS130_000000006027	spaS130	spaS130_000000006027	virus	p292
spaS130_000000006027	mh_p292	mh_p292_000000025491	plasmid	p292
spaS130_000000007481	spaS130	spaS130_000000007481	plasmid	p292
spaS130_000000007481	mh_p292	mh_p292_000000066798	virus	p292
spaS49_000000001452	spaS49	spaS49_000000001452	virus	p292
spaS49_000000001452	spaS55	spaS55_000000001439	plasmid	p292
spaS99_000000003727	spaS99	spaS99_000000003727	virus	p292
spaS99_000000003727	spaS97	spaS97_000000002083	plasmid	p292
spaS20_000000001656	spaS20	spaS20_000000001656	virus	p292
spaS20_000000001656	spaS228	spaS228_000000001817	plasmid	p292
spaS97_000000003350	spaS97	spaS97_000000003350	virus	p292
spaS97_000000003350	mh_p292	mh_p292_000000104548	plasmid	p292
spaS130_000000005495	spaS130	spaS130_000000005495	virus	p292
spaS130_000000005495	mh_p292	mh_p292_000000132934	plasmid	p292
spaS7_000000003028	spaS7	spaS7_000000003028	plasmid	p292
spaS7_000000003028	mh_p292	mh_p292_000000136027	virus	p292
spaS99_000000002314	spaS97	spaS97_000000000853	plasmid	p292
spaS99_000000002314	spaS130	spaS130_000000002822	virus	p292
spaS39_000000001574	spaS39	spaS39_000000001574	plasmid	p292
spaS39_000000001574	spaS97	spaS97_000000004037	virus	p292
spaS49_000000001536	spaS49	spaS49_000000001536	plasmid	p292
spaS49_000000001536	spaS97	spaS97_000000003360	virus	p292
spaS49_000000001536	spaS99	spaS99_000000001242	plasmid	p292
spaS12_000000005531	mh_p292	mh_p292_000000119968	virus	p292
spaS12_000000005531	spaS7	spaS7_000000001354	plasmid	p292
mh_p292_000000133452	spaS49	spaS49_000000000281	plasmid	p292
mh_p292_000000133452	spaS55	spaS55_000000001625	plasmid	p292
mh_p292_000000133452	spaS99	spaS99_000000002083	virus	p292
mh_p292_000000075332	mh_p292	mh_p292_000000075332	virus	p292
mh_p292_000000075332	spaS55	spaS55_000000001108	plasmid	p292
spaS225_000000000430	spaS225	spaS225_000000000430	plasmid	p292
spaS225_000000000430	spaS55	spaS55_000000001193	plasmid	p292
spaS225_000000000430	spaS232	spaS232_000000000169	virus	p292
spaS130_000000006636	spaS130	spaS130_000000006636	virus	p292
spaS130_000000006636	spaS97	spaS97_000000004738	virus	p292
spaS130_000000006636	mh_p292	mh_p292_000000010661	plasmid	p292
spaS228_000000002037	spaS228	spaS228_000000002037	virus	p292
spaS228_000000002037	spaS97	spaS97_000000001533	plasmid	p292
mh_p292_000000066188	mh_p292	mh_p292_000000066188	plasmid	p292
mh_p292_000000066188	spaS97	spaS97_000000003698	virus	p292
spaS97_000000007155	spaS39	spaS39_000000000877	virus	p292
spaS97_000000007155	spaS55	spaS55_000000003025	plasmid	p292
spaS97_000000007155	spaS49	spaS49_000000002110	plasmid	p292
mh_p292_000000006573	mh_p292	mh_p292_000000006573	plasmid	p292
mh_p292_000000006573	spaS97	spaS97_000000001339	plasmid	p292
mh_p292_000000006573	spaS99	spaS99_000000001256	virus	p292
mh_p292_000000007009	mh_p292	mh_p292_000000007009	plasmid	p292
mh_p292_000000007009	spaS97	spaS97_000000003199	virus	p292
mh_p292_000000025456	mh_p292	mh_p292_000000025456	virus	p292
mh_p292_000000025456	spaS55	spaS55_000000002199	plasmid	p292
mh_p292_000000025456	spaS130	spaS130_000000007154	virus	p292
spaS55_000000001847	spaS55	spaS55_000000001847	virus	p292
spaS55_000000001847	spaS49	spaS49_000000000779	plasmid	p292
spaS130_000000003399	spaS130	spaS130_000000003399	virus	p292
spaS130_000000003399	mh_p292	mh_p292_000000041172	plasmid	p292
spaS225_000000002238	spaS225	spaS225_000000002238	virus	p292
spaS225_000000002238	spaS55	spaS55_000000000931	plasmid	p292
spaS225_000000002238	spaS228	spaS228_000000000845	virus	p292
spaS55_000000002533	spaS55	spaS55_000000002533	virus	p292
spaS55_000000002533	spaS99	spaS99_000000001047	plasmid	p292
spaS97_000000004584	spaS97	spaS97_000000004584	plasmid	p292
spaS97_000000004584	spaS23	spaS23_000000002158	virus	p292
spaS55_000000001304	spaS55	spaS55_000000001304	plasmid	p292
spaS55_000000001304	mh_p292	mh_p292_000000100960	virus	p292
spaS39_000000003387	spaS97	spaS97_000000002725	virus	p292
spaS39_000000003387	spaS130	spaS130_000000007172	plasmid	p292
spaS55_000000003753	spaS55	spaS55_000000003753	virus	p292
spaS55_000000003753	spaS7	spaS7_000000003029	virus	p292
spaS55_000000003753	spaS12	spaS12_000000004060	virus	p292
spaS55_000000003753	spaS225	spaS225_000000000830	plasmid	p292
spaS55_000000003753	spaS228	spaS228_000000001437	virus	p292
spaS273_000000003226	spaS273	spaS273_000000003226	virus	p341
spaS273_000000003226	spaS261	spaS261_000000002422	plasmid	p341
spaS270_000000001350	spaS270	spaS270_000000001350	plasmid	p341
spaS270_000000001350	mh_p341	mh_p341_000000091164	virus	p341
mh_p341_000000014034	mh_p341	mh_p341_000000014034	virus	p341
mh_p341_000000014034	spaS270	spaS270_000000000635	plasmid	p341
mh_p341_000000014034	spaS298	spaS298_000000001193	virus	p341
spaS262_000000005469	mh_p341	mh_p341_000000097866	plasmid	p341
spaS262_000000005469	spaS272	spaS272_000000004548	virus	p341
spaS298_000000001897	spaS260	spaS260_000000001016	virus	p341
spaS298_000000001897	spaS271	spaS271_000000001442	plasmid	p341
spaS263_000000003506	mh_p341	mh_p341_000000025899	plasmid	p341
spaS263_000000003506	spaS262	spaS262_000000002061	virus	p341
mh_p341_000000064299	mh_p341	mh_p341_000000064299	virus	p341
mh_p341_000000064299	spaS270	spaS270_000000000568	plasmid	p341
spaS261_000000002462	spaS261	spaS261_000000002462	plasmid	p341
spaS261_000000002462	spaS262	spaS262_000000002666	virus	p341
spaS273_000000000502	spaS273	spaS273_000000000502	plasmid	p341
spaS273_000000000502	spaS272	spaS272_000000000263	virus	p341
spaS273_000000000502	spaS298	spaS298_000000000526	plasmid	p341
spaS273_000000003114	spaS273	spaS273_000000003114	virus	p341
spaS273_000000003114	mh_p341	mh_p341_000000033769	plasmid	p341
spaS261_000000002332	spaS261	spaS261_000000002332	virus	p341
spaS261_000000002332	spaS272	spaS272_000000001780	plasmid	p341
spaS273_000000001294	spaS273	spaS273_000000001294	virus	p341
spaS273_000000001294	mh_p341	mh_p341_000000071376	plasmid	p341
spaS273_000000001294	spaS271	spaS271_000000000598	plasmid	p341
spaS273_000000003012	spaS273	spaS273_000000003012	virus	p341
spaS273_000000003012	mh_p341	mh_p341_000000010876	virus	p341
spaS273_000000003012	spaS274	spaS274_000000002306	plasmid	p341
spaS298_000000002433	spaS298	spaS298_000000002433	virus	p341
spaS298_000000002433	mh_p341	mh_p341_000000017614	plasmid	p341
spaS212_000000003461	spaS212	spaS212_000000003461	virus	p373
spaS212_000000003461	spaS207	spaS207_000000000340	plasmid	p373
spaS212_000000003465	spaS202	spaS202_000000002939	virus	p373
spaS212_000000003465	spaS207	spaS207_000000000599	plasmid	p373
spaS207_000000002778	spaS207	spaS207_000000002778	plasmid	p373
spaS207_000000002778	spaS202	spaS202_000000003786	virus	p373
spaS205_000000001392	spaS205	spaS205_000000001392	virus	p373
spaS205_000000001392	spaS207	spaS207_000000001457	virus	p373
spaS205_000000001392	spaS202	spaS202_000000001019	plasmid	p373
spaS185_000000001602	spaS185	spaS185_000000001602	plasmid	p373
spaS185_000000001602	spaS209	spaS209_000000001992	virus	p373
spaS177_000000000887	spaS177	spaS177_000000000887	plasmid	p373
spaS177_000000000887	spaS171	spaS171_000000000836	virus	p373
spaS202_000000003304	spaS207	spaS207_000000000544	virus	p373
spaS202_000000003304	spaS209	spaS209_000000002073	plasmid	p373
spaS202_000000003304	spaS214	spaS214_000000000751	plasmid	p373
spaS202_000000004252	spaS202	spaS202_000000004252	virus	p373
spaS202_000000004252	spaS212	spaS212_000000001522	plasmid	p373
spaS202_000000005653	spaS185	spaS185_000000002373	virus	p373
spaS202_000000005653	spaS209	spaS209_000000003647	plasmid	p373
spaS185_000000001443	spaS185	spaS185_000000001443	virus	p373
spaS185_000000001443	spaS207	spaS207_000000001155	plasmid	p373
spaS171_000000001563	spaS177	spaS177_000000001490	virus	p373
spaS171_000000001563	spaS205	spaS205_000000001401	plasmid	p373
spaS207_000000001783	spaS207	spaS207_000000001783	plasmid	p373
spaS207_000000001783	spaS171	spaS171_000000001397	virus	p373
spaS177_000000001234	spaS177	spaS177_000000001234	virus	p373
spaS177_000000001234	spaS185	spaS185_000000000474	plasmid	p373
spaS208_000000003942	spaS208	spaS208_000000003942	plasmid	p398
spaS208_000000003942	spaS203	spaS203_000000003109	virus	p398
spaS191_000000002350	spaS191	spaS191_000000002350	virus	p398
spaS191_000000002350	mh_p398	mh_p398_000000066937	plasmid	p398
spaS200_000000002225	mh_p398	mh_p398_000000024379	virus	p398
spaS200_000000002225	spaS172	spaS172_000000000690	plasmid	p398
mh_p398_000000001436	mh_p398	mh_p398_000000001436	virus	p398
mh_p398_000000001436	spaS208	spaS208_000000001216	plasmid	p398
spaS167_000000001415	mh_p398	mh_p398_000000022595	virus	p398
spaS167_000000001415	spaS172	spaS172_000000000621	plasmid	p398
spaS167_000000002358	spaS167	spaS167_000000002358	virus	p398
spaS167_000000002358	spaS203	spaS203_000000003956	plasmid	p398
spaS200_000000002974	spaS200	spaS200_000000002974	virus	p398
spaS200_000000002974	spaS203	spaS203_000000002230	plasmid	p398
spaS200_000000001184	spaS200	spaS200_000000001184	plasmid	p398
spaS200_000000001184	spaS218	spaS218_000000001095	virus	p398
spaS200_000000003155	spaS200	spaS200_000000003155	plasmid	p398
spaS200_000000003155	spaS167	spaS167_000000001633	virus	p398
spaS203_000000003086	spaS203	spaS203_000000003086	plasmid	p398
spaS203_000000003086	spaS208	spaS208_000000004003	plasmid	p398
spaS203_000000003086	spaS200	spaS200_000000000844	virus	p398
spaS155_000000001299	spaS155	spaS155_000000001299	virus	p398
spaS155_000000001299	spaS203	spaS203_000000000862	plasmid	p398
spaS203_000000001414	spaS172	spaS172_000000000759	plasmid	p398
spaS203_000000001414	spaS218	spaS218_000000000982	virus	p398
spaS218_000000001656	spaS218	spaS218_000000001656	virus	p398
spaS218_000000001656	spaS208	spaS208_000000000792	plasmid	p398
spaS218_000000001656	spaS203	spaS203_000000000770	plasmid	p398
spaS218_000000001656	spaS200	spaS200_000000000674	plasmid	p398
spaS218_000000002684	spaS172	spaS172_000000000820	virus	p398
spaS218_000000002684	spaS208	spaS208_000000001336	plasmid	p398
spaS203_000000008682	spaS155	spaS155_000000002177	virus	p398
spaS203_000000008682	spaS167	spaS167_000000001971	plasmid	p398
spaS203_000000008682	mh_p398	mh_p398_000000009561	virus	p398
spaS203_000000008682	spaS218	spaS218_000000002178	virus	p398
spaS167_000000001694	spaS167	spaS167_000000001694	virus	p398
spaS167_000000001694	mh_p398	mh_p398_000000012401	plasmid	p398
spaS114_000000002511	spaS114	spaS114_000000002511	virus	p408
spaS114_000000002511	spaS126	spaS126_000000001088	plasmid	p408
spaS119_000000002245	spaS119	spaS119_000000002245	plasmid	p408
spaS119_000000002245	mh_p408	mh_p408_000000007304	virus	p408
mh_p408_000000016657	mh_p408	mh_p408_000000016657	virus	p408
mh_p408_000000016657	spaS119	spaS119_000000002170	plasmid	p408
spaS109_000000002057	spaS109	spaS109_000000002057	virus	p408
spaS109_000000002057	spaS150	spaS150_000000001110	plasmid	p408
spaS126_000000001052	spaS126	spaS126_000000001052	virus	p408
spaS126_000000001052	spaS119	spaS119_000000000679	plasmid	p408
mh_p408_000000030108	spaS109	spaS109_000000001017	plasmid	p408
mh_p408_000000030108	spaS150	spaS150_000000001640	virus	p408
spaS109_000000001603	spaS109	spaS109_000000001603	virus	p408
spaS109_000000001603	mh_p408	mh_p408_000000054596	virus	p408
spaS109_000000001603	spaS114	spaS114_000000001469	plasmid	p408
spaS109_000000001603	spaS119	spaS119_000000003078	virus	p408
spaS141_000000001426	spaS141	spaS141_000000001426	virus	p408
spaS141_000000001426	mh_p408	mh_p408_000000045579	plasmid	p408
spaS126_000000002529	spaS126	spaS126_000000002529	virus	p408
spaS126_000000002529	spaS119	spaS119_000000002920	virus	p408
spaS126_000000002529	spaS135	spaS135_000000002653	virus	p408
spaS126_000000002529	mh_p408	mh_p408_000000008052	plasmid	p408
spaS135_000000003594	spaS135	spaS135_000000003594	plasmid	p408
spaS135_000000003594	mh_p408	mh_p408_000000068909	plasmid	p408
spaS135_000000003594	spaS126	spaS126_000000001472	virus	p408
spaS150_000000002391	spaS150	spaS150_000000002391	virus	p408
spaS150_000000002391	spaS135	spaS135_000000003575	virus	p408
spaS150_000000002391	spaS119	spaS119_000000003816	virus	p408
spaS150_000000002391	spaS114	spaS114_000000002347	virus	p408
spaS150_000000002391	spaS141	spaS141_000000000775	plasmid	p408
spaS142_000000003377	spaS16	spaS16_000000002005	plasmid	p431
spaS142_000000003377	spaS210	spaS210_000000002552	plasmid	p431
spaS142_000000003377	spaS78	spaS78_000000001917	virus	p431
spaS142_000000003377	spaS81	spaS81_000000001214	virus	p431
spaS3_000000003974	spaS3	spaS3_000000003974	plasmid	p431
spaS3_000000003974	spaS26	spaS26_000000001623	virus	p431
spaS127_000000004111	spaS2	spaS2_000000001465	plasmid	p431
spaS127_000000004111	spaS65	spaS65_000000001994	virus	p431
spaS127_000000004111	spaS66	spaS66_000000000803	virus	p431
spaS127_000000004111	spaS81	spaS81_000000003209	plasmid	p431
spaS243_000000003602	spaS243	spaS243_000000003602	virus	p431
spaS243_000000003602	spaS204	spaS204_000000001006	plasmid	p431
spaS142_000000002123	spaS142	spaS142_000000002123	plasmid	p431
spaS142_000000002123	spaS2	spaS2_000000001216	virus	p431
spaS204_000000002462	spaS204	spaS204_000000002462	virus	p431
spaS204_000000002462	spaS115	spaS115_000000001330	virus	p431
spaS204_000000002462	spaS123	spaS123_000000000769	plasmid	p431
spaS204_000000002462	spaS186	spaS186_000000000758	plasmid	p431
spaS204_000000002462	spaS158	spaS158_000000000685	plasmid	p431
spaS16_000000004007	spaS16	spaS16_000000004007	virus	p431
spaS16_000000004007	spaS210	spaS210_000000003769	plasmid	p431
spaS78_000000003665	spaS78	spaS78_000000003665	virus	p431
spaS78_000000003665	spaS65	spaS65_000000001509	plasmid	p431
spaS78_000000003997	spaS78	spaS78_000000003997	virus	p431
spaS78_000000003997	spaS243	spaS243_000000003530	virus	p431
spaS78_000000003997	spaS115	spaS115_000000003181	virus	p431
spaS78_000000003997	spaS127	spaS127_000000001823	plasmid	p431
spaS78_000000003997	spaS81	spaS81_000000001747	plasmid	p431
spaS78_000000004067	spaS78	spaS78_000000004067	virus	p431
spaS78_000000004067	spaS229	spaS229_000000001509	plasmid	p431
spaS81_000000003940	spaS81	spaS81_000000003940	virus	p431
spaS81_000000003940	spaS16	spaS16_000000004133	virus	p431
spaS81_000000003940	spaS127	spaS127_000000004750	virus	p431
spaS81_000000003940	spaS233	spaS233_000000003259	virus	p431
spaS81_000000003940	spaS26	spaS26_000000001677	plasmid	p431
spaS81_000000003940	spaS110	spaS110_000000002293	virus	p431
spaS81_000000003940	spaS229	spaS229_000000002415	virus	p431
spaS81_000000003940	spaS238	spaS238_000000002577	virus	p431
spaS158_000000001877	spaS158	spaS158_000000001877	plasmid	p431
spaS158_000000001877	spaS127	spaS127_000000001369	virus	p431
spaS142_000000004360	spaS142	spaS142_000000004360	plasmid	p431
spaS142_000000004360	spaS66	spaS66_000000003527	virus	p431
spaS142_000000004360	spaS81	spaS81_000000002500	plasmid	p431
spaS142_000000004360	spaS115	spaS115_000000002228	plasmid	p431
spaS210_000000001973	spaS26	spaS26_000000001431	virus	p431
spaS210_000000001973	spaS226	spaS226_000000000590	plasmid	p431
spaS210_000000001973	spaS77	spaS77_000000000837	plasmid	p431
spaS210_000000001973	spaS236	spaS236_000000000595	plasmid	p431
spaS210_000000001973	spaS243	spaS243_000000000887	plasmid	p431
spaS78_000000006227	spaS186	spaS186_000000001031	plasmid	p431
spaS78_000000006227	spaS158	spaS158_000000001229	virus	p431
spaS186_000000001666	spaS186	spaS186_000000001666	virus	p431
spaS186_000000001666	spaS210	spaS210_000000002088	virus	p431
spaS186_000000001666	spaS211	spaS211_000000001857	virus	p431
spaS186_000000001666	spaS65	spaS65_000000001927	virus	p431
spaS186_000000001666	spaS158	spaS158_000000000984	plasmid	p431
spaS16_000000006025	spaS96	spaS96_000000002146	virus	p431
spaS16_000000006025	spaS158	spaS158_000000002718	plasmid	p431
spaS96_000000001300	spaS65	spaS65_000000000983	plasmid	p431
spaS96_000000001300	spaS210	spaS210_000000001506	virus	p431
spaS70_000000003944	spaS3	spaS3_000000002654	plasmid	p431
spaS70_000000003944	spaS123	spaS123_000000000818	virus	p431
spaS70_000000003944	spaS244	spaS244_000000000785	plasmid	p431
spaS70_000000003944	spaS66	spaS66_000000001729	plasmid	p431
spaS70_000000002066	spaS70	spaS70_000000002066	virus	p431
spaS70_000000002066	spaS10	spaS10_000000000643	plasmid	p431
spaS70_000000002066	spaS16	spaS16_000000001023	plasmid	p431
spaS70_000000002066	spaS238	spaS238_000000000911	plasmid	p431
spaS16_000000003304	spaS16	spaS16_000000003304	virus	p431
spaS16_000000003304	spaS156	spaS156_000000001633	plasmid	p431
spaS3_000000003053	spaS3	spaS3_000000003053	virus	p431
spaS3_000000003053	spaS115	spaS115_000000001256	plasmid	p431
spaS66_000000003554	spaS70	spaS70_000000001012	virus	p431
spaS66_000000003554	spaS96	spaS96_000000001026	plasmid	p431
spaS10_000000001792	spaS10	spaS10_000000001792	plasmid	p431
spaS10_000000001792	spaS233	spaS233_000000002020	plasmid	p431
spaS10_000000001792	spaS81	spaS81_000000003503	virus	p431
spaS10_000000001792	spaS236	spaS236_000000001835	virus	p431
spaS127_000000003886	spaS127	spaS127_000000003886	virus	p431
spaS127_000000003886	spaS110	spaS110_000000002018	virus	p431
spaS127_000000003886	spaS204	spaS204_000000003315	virus	p431
spaS127_000000003886	spaS210	spaS210_000000001921	plasmid	p431
spaS242_000000001618	spaS242	spaS242_000000001618	plasmid	p431
spaS242_000000001618	spaS127	spaS127_000000001803	virus	p431
spaS210_000000001328	spaS210	spaS210_000000001328	plasmid	p431
spaS210_000000001328	spaS16	spaS16_000000001347	virus	p431
spaS210_000000015268	spaS83	spaS83_000000001707	plasmid	p431
spaS210_000000015268	spaS243	spaS243_000000002366	virus	p431
spaS66_000000002870	spaS66	spaS66_000000002870	plasmid	p431
spaS66_000000002870	spaS10	spaS10_000000002696	plasmid	p431
spaS66_000000002870	spaS233	spaS233_000000001924	virus	p431
spaS66_000000002870	spaS65	spaS65_000000002864	virus	p431
spaS243_000000001600	spaS243	spaS243_000000001600	virus	p431
spaS243_000000001600	spaS77	spaS77_000000000803	plasmid	p431
spaS115_000000003722	spaS115	spaS115_000000003722	plasmid	p431
