whole_cohort_id	group	participant	is_coassembly	local_length	local_n_amr_genes	date
spaS122_000000006554	spaS30	p110	FALSE	7965	0	2022-11-22
mh_p110_000000111377	mh_p110	p110	TRUE	5104	0	
mh_p110_000000111377	spaS37	p110	FALSE	4765	0	2022-12-06
mh_p110_000000111377	spaS30	p110	FALSE	4765	0	2022-11-22
spaS23_000000003089	mh_p110	p110	TRUE	27993	0	
spaS23_000000003089	spaS37	p110	FALSE	82453	1	2022-12-06
spaS174_000000014548	spaS30	p110	FALSE	76496	1	2022-11-22
spaS174_000000014548	spaS37	p110	FALSE	70944	1	2022-12-06
spaS104_000000001826	spaS30	p110	FALSE	69916	1	2022-11-22
spaS104_000000001826	mh_p110	p110	TRUE	139654	1	
spaS104_000000001826	spaS37	p110	FALSE	139093	1	2022-12-06
spaS296_000000019092	spaS30	p110	FALSE	32203	0	2022-11-22
spaS296_000000019092	mh_p110	p110	TRUE	48497	1	
spaS296_000000019092	spaS37	p110	FALSE	86658	1	2022-12-06
spaS295_000000010027	spaS30	p110	FALSE	31265	0	2022-11-22
spaS295_000000010027	mh_p110	p110	TRUE	40519	0	
spaS44_000000007193	spaS30	p110	FALSE	19776	0	2022-11-22
spaS44_000000007193	mh_p110	p110	TRUE	19727	0	
spaS44_000000007193	spaS222	p110	FALSE	40391	1	2022-07-21
spaS30_000000001713	spaS30	p110	FALSE	19762	0	2022-11-22
mh_p860_000000117815	spaS30	p110	FALSE	19659	0	2022-11-22
mh_p860_000000117815	spaS37	p110	FALSE	19659	0	2022-12-06
spaS144_000000003299	spaS30	p110	FALSE	19540	0	2022-11-22
spaS144_000000003299	spaS222	p110	FALSE	21407	0	2022-07-21
spaS275_000000002113	spaS30	p110	FALSE	19461	0	2022-11-22
spaS275_000000002113	mh_p110	p110	TRUE	36912	0	
spaS70_000000001971	spaS30	p110	FALSE	19056	0	2022-11-22
spaS30_000000001792	spaS30	p110	FALSE	18928	0	2022-11-22
spaS30_000000001792	mh_p110	p110	TRUE	27456	0	
spaS30_000000001792	spaS37	p110	FALSE	18862	0	2022-12-06
spaS30_000000001792	spaS222	p110	FALSE	18860	0	2022-07-21
mh_p601_000000046842	spaS30	p110	FALSE	12162	0	2022-11-22
mh_p601_000000046842	spaS37	p110	FALSE	10399	0	2022-12-06
mh_p601_000000046842	spaS222	p110	FALSE	10612	0	2022-07-21
spaS223_000000003770	spaS30	p110	FALSE	12130	0	2022-11-22
spaS223_000000003770	mh_p110	p110	TRUE	17847	0	
spaS202_000000006917	spaS30	p110	FALSE	12074	0	2022-11-22
spaS32_000000007500	spaS30	p110	FALSE	12022	0	2022-11-22
spaS32_000000007500	mh_p110	p110	TRUE	20157	1	
spaS194_000000020864	spaS30	p110	FALSE	11945	0	2022-11-22
spaS194_000000020864	spaS37	p110	FALSE	19088	0	2022-12-06
spaS37_000000004369	spaS30	p110	FALSE	11912	0	2022-11-22
spaS37_000000004369	mh_p110	p110	TRUE	60545	1	
spaS231_000000004089	spaS30	p110	FALSE	11813	0	2022-11-22
spaS37_000000011607	spaS30	p110	FALSE	9474	0	2022-11-22
spaS37_000000011607	mh_p110	p110	TRUE	33308	0	
spaS30_000000003423	spaS30	p110	FALSE	9469	0	2022-11-22
spaS37_000000007212	spaS30	p110	FALSE	9402	0	2022-11-22
mh_p398_000000007616	spaS30	p110	FALSE	9344	0	2022-11-22
spaS30_000000003470	spaS30	p110	FALSE	9329	0	2022-11-22
spaS30_000000003472	spaS30	p110	FALSE	9326	0	2022-11-22
spaS30_000000003472	spaS223	p110	FALSE	9159	0	2022-08-04
spaS30_000000003472	mh_p110	p110	TRUE	11132	0	
spaS231_000000005766	spaS30	p110	FALSE	9321	0	2022-11-22
spaS231_000000005766	mh_p110	p110	TRUE	29516	0	
spaS99_000000006571	spaS30	p110	FALSE	9318	0	2022-11-22
spaS30_000000003481	spaS30	p110	FALSE	9316	0	2022-11-22
spaS30_000000004134	spaS30	p110	FALSE	7711	0	2022-11-22
spaS30_000000004134	mh_p110	p110	TRUE	10857	0	
spaS197_000000006457	spaS30	p110	FALSE	7688	0	2022-11-22
spaS211_000000006156	spaS30	p110	FALSE	7679	0	2022-11-22
spaS30_000000004157	spaS30	p110	FALSE	7664	0	2022-11-22
spaS30_000000004157	mh_p110	p110	TRUE	15452	0	
spaS30_000000004159	spaS30	p110	FALSE	7661	0	2022-11-22
spaS30_000000004170	spaS30	p110	FALSE	7641	0	2022-11-22
spaS30_000000004183	spaS30	p110	FALSE	7604	0	2022-11-22
spaS5_000000005650	spaS30	p110	FALSE	6387	0	2022-11-22
spaS210_000000004698	spaS30	p110	FALSE	6386	0	2022-11-22
spaS210_000000004698	mh_p110	p110	TRUE	5734	0	
spaS210_000000004698	spaS37	p110	FALSE	5204	0	2022-12-06
spaS210_000000004698	spaS222	p110	FALSE	5433	0	2022-07-21
spaS210_000000004698	spaS223	p110	FALSE	6025	0	2022-08-04
spaS30_000000004915	spaS30	p110	FALSE	6381	0	2022-11-22
spaS30_000000004915	spaS37	p110	FALSE	22994	0	2022-12-06
spaS268_000000021927	spaS30	p110	FALSE	6378	0	2022-11-22
spaS268_000000021927	mh_p110	p110	TRUE	16289	0	
spaS268_000000021927	spaS37	p110	FALSE	10450	0	2022-12-06
spaS30_000000004922	spaS30	p110	FALSE	6376	0	2022-11-22
spaS30_000000004922	mh_p110	p110	TRUE	6241	0	
spaS30_000000004930	spaS30	p110	FALSE	6361	0	2022-11-22
spaS30_000000004930	mh_p110	p110	TRUE	5802	0	
spaS30_000000004930	spaS37	p110	FALSE	6358	0	2022-12-06
spaS37_000000017939	spaS30	p110	FALSE	6330	0	2022-11-22
spaS30_000000004951	spaS30	p110	FALSE	6322	0	2022-11-22
mh_p789_000000047736	spaS30	p110	FALSE	6308	0	2022-11-22
mh_p789_000000047736	mh_p110	p110	TRUE	5801	0	
spaS37_000000030862	spaS30	p110	FALSE	6299	0	2022-11-22
spaS37_000000030862	mh_p110	p110	TRUE	14986	0	
spaS47_000000001930	spaS30	p110	FALSE	6277	0	2022-11-22
spaS47_000000001930	spaS30	p110	FALSE	9268	0	2022-11-22
spaS201_000000012756	spaS30	p110	FALSE	6250	0	2022-11-22
spaS201_000000012756	mh_p110	p110	TRUE	12306	0	
spaS201_000000012756	spaS222	p110	FALSE	7907	0	2022-07-21
spaS30_000000005705	spaS30	p110	FALSE	5397	0	2022-11-22
spaS30_000000005705	mh_p110	p110	TRUE	12044	0	
spaS30_000000005713	spaS30	p110	FALSE	5392	0	2022-11-22
spaS222_000000017155	spaS30	p110	FALSE	5391	0	2022-11-22
spaS222_000000017155	mh_p110	p110	TRUE	63142	0	
spaS222_000000017155	spaS37	p110	FALSE	63056	0	2022-12-06
spaS67_000000007804	spaS30	p110	FALSE	5370	0	2022-11-22
spaS30_000000005739	spaS30	p110	FALSE	5361	0	2022-11-22
spaS30_000000005742	spaS30	p110	FALSE	5358	0	2022-11-22
spaS30_000000005742	mh_p110	p110	TRUE	15739	0	
spaS30_000000005742	spaS37	p110	FALSE	15733	0	2022-12-06
spaS30_000000005751	spaS30	p110	FALSE	5350	0	2022-11-22
spaS30_000000005763	spaS30	p110	FALSE	5334	0	2022-11-22
spaS30_000000005766	spaS30	p110	FALSE	5331	0	2022-11-22
spaS231_000000010994	spaS30	p110	FALSE	5324	0	2022-11-22
spaS231_000000010994	mh_p110	p110	TRUE	9472	0	
spaS256_000000007403	spaS30	p110	FALSE	5294	0	2022-11-22
spaS256_000000007403	spaS223	p110	FALSE	5184	0	2022-08-04
spaS256_000000007403	mh_p110	p110	TRUE	6891	0	
spaS256_000000007403	spaS222	p110	FALSE	5103	0	2022-07-21
spaS269_000000016750	spaS30	p110	FALSE	5294	0	2022-11-22
spaS269_000000016750	mh_p110	p110	TRUE	18369	1	
spaS223_000000030607	spaS30	p110	FALSE	4091	0	2022-11-22
spaS223_000000030607	mh_p110	p110	TRUE	9815	0	
spaS169_000000017591	spaS30	p110	FALSE	4072	0	2022-11-22
spaS169_000000017591	spaS37	p110	FALSE	26803	0	2022-12-06
spaS297_000000032705	spaS222	p110	FALSE	1895	0	2022-07-21
spaS297_000000032705	spaS37	p110	FALSE	8574	0	2022-12-06
spaS297_000000032705	mh_p110	p110	TRUE	29244	0	
spaS297_000000032705	spaS30	p110	FALSE	28910	0	2022-11-22
spaS297_000000032705	spaS223	p110	FALSE	32219	0	2022-08-04
spaS222_000000013308	spaS222	p110	FALSE	1894	1	2022-07-21
spaS222_000000013308	mh_p110	p110	TRUE	3901	3	
spaS222_000000013872	spaS222	p110	FALSE	1811	1	2022-07-21
spaS222_000000013872	spaS37	p110	FALSE	1768	1	2022-12-06
spaS94_000000007011	spaS222	p110	FALSE	1709	1	2022-07-21
spaS222_000000016128	spaS222	p110	FALSE	1551	0	2022-07-21
spaS222_000000016128	spaS30	p110	FALSE	3711	1	2022-11-22
spaS222_000000018060	spaS222	p110	FALSE	1377	0	2022-07-21
spaS222_000000018060	mh_p110	p110	TRUE	5339	1	
spaS222_000000018980	spaS222	p110	FALSE	1307	1	2022-07-21
spaS214_000000003810	spaS30	p110	FALSE	23488	0	2022-11-22
spaS214_000000003810	mh_p110	p110	TRUE	48198	1	
spaS188_000000002600	spaS30	p110	FALSE	23232	0	2022-11-22
spaS188_000000002600	mh_p110	p110	TRUE	33354	1	
mh_p813_000000257940	spaS30	p110	FALSE	22855	0	2022-11-22
spaS231_000000002177	spaS30	p110	FALSE	22843	0	2022-11-22
spaS231_000000002177	spaS222	p110	FALSE	22843	0	2022-07-21
spaS195_000000002249	spaS30	p110	FALSE	22801	0	2022-11-22
spaS195_000000002249	spaS223	p110	FALSE	60826	0	2022-08-04
spaS222_000000002496	spaS30	p110	FALSE	22580	0	2022-11-22
spaS221_000000010863	spaS30	p110	FALSE	22534	0	2022-11-22
spaS30_000000002210	spaS30	p110	FALSE	15228	1	2022-11-22
spaS30_000000002221	spaS30	p110	FALSE	15144	0	2022-11-22
spaS79_000000008039	spaS30	p110	FALSE	15132	0	2022-11-22
spaS20_000000004163	spaS30	p110	FALSE	14902	0	2022-11-22
spaS20_000000004163	spaS37	p110	FALSE	22543	0	2022-12-06
spaS212_000000007284	spaS30	p110	FALSE	14778	0	2022-11-22
spaS30_000000002298	spaS30	p110	FALSE	14632	0	2022-11-22
spaS267_000000006664	spaS30	p110	FALSE	14617	0	2022-11-22
spaS267_000000006664	spaS222	p110	FALSE	14145	0	2022-07-21
spaS186_000000005932	spaS30	p110	FALSE	10564	0	2022-11-22
spaS186_000000005932	spaS37	p110	FALSE	10564	0	2022-12-06
spaS186_000000005932	mh_p110	p110	TRUE	10301	0	
spaS240_000000010103	spaS30	p110	FALSE	10525	0	2022-11-22
mh_p813_000000180290	spaS30	p110	FALSE	10519	0	2022-11-22
spaS194_000000027033	spaS30	p110	FALSE	10487	0	2022-11-22
spaS194_000000027033	mh_p110	p110	TRUE	20245	0	
spaS194_000000027033	spaS37	p110	FALSE	17583	0	2022-12-06
spaS30_000000003133	spaS30	p110	FALSE	10475	0	2022-11-22
spaS5_000000007839	spaS30	p110	FALSE	10468	0	2022-11-22
spaS5_000000007839	mh_p110	p110	TRUE	9828	0	
spaS5_000000007839	spaS222	p110	FALSE	9210	0	2022-07-21
spaS5_000000007839	spaS223	p110	FALSE	10468	0	2022-08-04
spaS7_000000020682	spaS30	p110	FALSE	10421	2	2022-11-22
spaS231_000000004162	spaS30	p110	FALSE	10350	0	2022-11-22
spaS231_000000004162	mh_p110	p110	TRUE	9937	0	
spaS74_000000008405	spaS30	p110	FALSE	10299	0	2022-11-22
spaS74_000000008405	mh_p110	p110	TRUE	18192	0	
spaS30_000000003188	spaS30	p110	FALSE	10264	0	2022-11-22
spaS67_000000013905	spaS30	p110	FALSE	10246	0	2022-11-22
mh_p860_000000026322	spaS30	p110	FALSE	10233	0	2022-11-22
mh_p860_000000026322	mh_p110	p110	TRUE	32736	0	
mh_p860_000000026322	spaS37	p110	FALSE	10232	0	2022-12-06
spaS229_000000001553	spaS30	p110	FALSE	10216	2	2022-11-22
spaS30_000000004405	spaS30	p110	FALSE	7186	0	2022-11-22
spaS155_000000002644	spaS30	p110	FALSE	7180	0	2022-11-22
spaS30_000000004442	spaS30	p110	FALSE	7138	0	2022-11-22
spaS30_000000004460	spaS30	p110	FALSE	7092	0	2022-11-22
spaS30_000000004469	spaS30	p110	FALSE	7079	0	2022-11-22
spaS30_000000004470	spaS30	p110	FALSE	7078	0	2022-11-22
spaS30_000000004470	spaS223	p110	FALSE	31809	0	2022-08-04
spaS152_000000002532	spaS30	p110	FALSE	7077	1	2022-11-22
spaS152_000000002532	spaS37	p110	FALSE	6069	1	2022-12-06
spaS37_000000008879	spaS30	p110	FALSE	7077	0	2022-11-22
spaS223_000000019558	spaS30	p110	FALSE	7064	0	2022-11-22
spaS19_000000003220	spaS30	p110	FALSE	7056	0	2022-11-22
spaS37_000000007347	spaS30	p110	FALSE	7055	0	2022-11-22
spaS149_000000006058	spaS30	p110	FALSE	7045	0	2022-11-22
spaS30_000000005215	spaS30	p110	FALSE	5950	0	2022-11-22
spaS30_000000005216	spaS30	p110	FALSE	5949	0	2022-11-22
spaS217_000000010631	spaS30	p110	FALSE	5915	2	2022-11-22
spaS217_000000010631	mh_p110	p110	TRUE	12092	2	
spaS145_000000007694	spaS30	p110	FALSE	5889	0	2022-11-22
spaS30_000000005256	spaS30	p110	FALSE	5884	0	2022-11-22
spaS30_000000005256	mh_p110	p110	TRUE	10647	0	
spaS39_000000007240	spaS30	p110	FALSE	5878	0	2022-11-22
spaS39_000000007240	spaS223	p110	FALSE	5878	0	2022-08-04
spaS39_000000007240	spaS37	p110	FALSE	5539	0	2022-12-06
spaS215_000000024163	spaS30	p110	FALSE	5875	0	2022-11-22
spaS215_000000024163	spaS223	p110	FALSE	9265	0	2022-08-04
spaS195_000000006953	spaS30	p110	FALSE	5869	0	2022-11-22
spaS237_000000010437	spaS30	p110	FALSE	5852	0	2022-11-22
spaS237_000000010437	mh_p110	p110	TRUE	8699	0	
spaS237_000000010437	spaS222	p110	FALSE	8380	0	2022-07-21
spaS237_000000010437	spaS223	p110	FALSE	7390	0	2022-08-04
spaS294_000000024382	spaS30	p110	FALSE	5852	0	2022-11-22
spaS18_000000008185	spaS30	p110	FALSE	5837	0	2022-11-22
spaS30_000000005301	spaS30	p110	FALSE	5829	0	2022-11-22
spaS30_000000005910	spaS30	p110	FALSE	5205	0	2022-11-22
spaS294_000000019647	spaS30	p110	FALSE	5199	0	2022-11-22
spaS294_000000019647	mh_p110	p110	TRUE	9140	0	
spaS215_000000019272	spaS30	p110	FALSE	5191	0	2022-11-22
spaS30_000000005947	spaS30	p110	FALSE	5174	0	2022-11-22
spaS300_000000046962	spaS30	p110	FALSE	5158	0	2022-11-22
mh_p860_000000055035	spaS30	p110	FALSE	5154	0	2022-11-22
spaS30_000000005978	spaS30	p110	FALSE	5151	1	2022-11-22
spaS30_000000005978	mh_p110	p110	TRUE	15505	1	
spaS30_000000005985	spaS30	p110	FALSE	5142	0	2022-11-22
spaS30_000000005985	mh_p110	p110	TRUE	15798	0	
spaS118_000000007693	spaS30	p110	FALSE	5130	0	2022-11-22
spaS252_000000015577	spaS30	p110	FALSE	4357	0	2022-11-22
spaS252_000000015577	mh_p110	p110	TRUE	5502	0	
spaS252_000000015577	spaS37	p110	FALSE	8243	0	2022-12-06
spaS30_000000007073	spaS30	p110	FALSE	4345	0	2022-11-22
spaS30_000000007073	mh_p110	p110	TRUE	25843	0	
spaS240_000000004367	spaS30	p110	FALSE	4325	0	2022-11-22
spaS240_000000004367	mh_p110	p110	TRUE	25292	0	
spaS240_000000004367	spaS223	p110	FALSE	12202	0	2022-08-04
spaS5_000000012270	spaS30	p110	FALSE	4041	0	2022-11-22
spaS5_000000012270	spaS222	p110	FALSE	10419	0	2022-07-21
spaS30_000000007679	spaS30	p110	FALSE	4008	0	2022-11-22
spaS30_000000007679	mh_p110	p110	TRUE	6069	0	
spaS30_000000008544	spaS30	p110	FALSE	3611	0	2022-11-22
spaS30_000000008544	spaS37	p110	FALSE	12661	0	2022-12-06
spaS52_000000013640	spaS30	p110	FALSE	3604	0	2022-11-22
spaS52_000000013640	spaS37	p110	FALSE	6093	0	2022-12-06
spaS30_000000008562	spaS30	p110	FALSE	3603	0	2022-11-22
spaS30_000000008562	spaS223	p110	FALSE	3603	0	2022-08-04
spaS30_000000008562	spaS37	p110	FALSE	4564	0	2022-12-06
spaS30_000000008562	spaS222	p110	FALSE	9337	0	2022-07-21
spaS116_000000003735	spaS30	p110	FALSE	3198	0	2022-11-22
spaS116_000000003735	mh_p110	p110	TRUE	8488	0	
spaS149_000000010521	spaS30	p110	FALSE	3195	0	2022-11-22
spaS149_000000010521	mh_p110	p110	TRUE	8224	0	
spaS149_000000010521	spaS37	p110	FALSE	13245	1	2022-12-06
spaS30_000000009726	spaS30	p110	FALSE	3194	0	2022-11-22
spaS30_000000009726	mh_p110	p110	TRUE	35784	0	
spaS30_000000009726	spaS222	p110	FALSE	35245	0	2022-07-21
spaS30_000000009762	spaS30	p110	FALSE	3185	0	2022-11-22
spaS30_000000009762	spaS223	p110	FALSE	8120	0	2022-08-04
spaS30_000000010707	spaS30	p110	FALSE	2927	0	2022-11-22
spaS30_000000010707	mh_p110	p110	TRUE	103508	1	
spaS30_000000010707	spaS222	p110	FALSE	102471	1	2022-07-21
spaS30_000000010771	spaS30	p110	FALSE	2913	0	2022-11-22
spaS30_000000010771	mh_p110	p110	TRUE	7201	0	
spaS10_000000012275	spaS30	p110	FALSE	2749	0	2022-11-22
spaS10_000000012275	spaS37	p110	FALSE	13668	0	2022-12-06
spaS26_000000013224	spaS30	p110	FALSE	2737	0	2022-11-22
spaS26_000000013224	spaS37	p110	FALSE	16852	0	2022-12-06
spaS26_000000013224	mh_p110	p110	TRUE	15140	0	
spaS298_000000006223	spaS30	p110	FALSE	2734	0	2022-11-22
spaS298_000000006223	mh_p110	p110	TRUE	11659	0	
spaS30_000000011829	spaS30	p110	FALSE	2682	0	2022-11-22
spaS30_000000011829	mh_p110	p110	TRUE	7265	0	
spaS222_000000023313	spaS222	p110	FALSE	1067	1	2022-07-21
spaS3_000000002062	spaS223	p110	FALSE	51405	0	2022-08-04
spaS3_000000002062	spaS222	p110	FALSE	146432	0	2022-07-21
spaS296_000000005724	spaS223	p110	FALSE	45352	0	2022-08-04
spaS30_000000001582	spaS223	p110	FALSE	23812	0	2022-08-04
spaS30_000000001582	spaS222	p110	FALSE	30017	0	2022-07-21
spaS43_000000004051	spaS223	p110	FALSE	23697	0	2022-08-04
spaS146_000000005090	spaS223	p110	FALSE	23239	0	2022-08-04
spaS52_000000006528	spaS223	p110	FALSE	23112	0	2022-08-04
spaS52_000000006528	mh_p110	p110	TRUE	69914	0	
spaS52_000000006528	spaS30	p110	FALSE	90348	1	2022-11-22
spaS52_000000006528	spaS37	p110	FALSE	59319	0	2022-12-06
spaS223_000000001118	spaS223	p110	FALSE	22940	0	2022-08-04
spaS223_000000001118	mh_p110	p110	TRUE	74432	1	
spaS221_000000022261	spaS223	p110	FALSE	22613	0	2022-08-04
spaS133_000000002447	spaS223	p110	FALSE	22514	0	2022-08-04
spaS150_000000001779	spaS223	p110	FALSE	15036	0	2022-08-04
spaS150_000000001779	spaS222	p110	FALSE	63568	0	2022-07-21
spaS188_000000006713	spaS223	p110	FALSE	14946	0	2022-08-04
spaS188_000000006713	mh_p110	p110	TRUE	26115	1	
mh_p722_000000123628	spaS223	p110	FALSE	14844	3	2022-08-04
spaS223_000000001876	spaS223	p110	FALSE	14817	0	2022-08-04
spaS221_000000030183	spaS223	p110	FALSE	14782	1	2022-08-04
spaS126_000000002353	spaS223	p110	FALSE	14718	0	2022-08-04
spaS300_000000004787	spaS223	p110	FALSE	14681	0	2022-08-04
spaS45_000000004291	spaS223	p110	FALSE	14611	0	2022-08-04
spaS223_000000001916	spaS223	p110	FALSE	14531	0	2022-08-04
spaS258_000000004875	spaS223	p110	FALSE	11319	0	2022-08-04
spaS258_000000004875	spaS37	p110	FALSE	10355	0	2022-12-06
mh_p398_000000032608	spaS223	p110	FALSE	11228	0	2022-08-04
spaS212_000000014193	spaS223	p110	FALSE	11173	0	2022-08-04
spaS130_000000006972	spaS223	p110	FALSE	11154	0	2022-08-04
spaS223_000000002602	spaS223	p110	FALSE	11137	0	2022-08-04
spaS88_000000005884	spaS223	p110	FALSE	11134	0	2022-08-04
spaS223_000000002612	spaS223	p110	FALSE	11109	0	2022-08-04
spaS223_000000002620	spaS223	p110	FALSE	11089	0	2022-08-04
spaS161_000000008359	spaS223	p110	FALSE	11087	0	2022-08-04
spaS223_000000003856	spaS223	p110	FALSE	7734	0	2022-08-04
mh_p523_000000029561	spaS223	p110	FALSE	7700	0	2022-08-04
spaS223_000000003887	spaS223	p110	FALSE	7680	0	2022-08-04
mh_p813_000000261890	spaS223	p110	FALSE	7674	0	2022-08-04
spaS202_000000007100	spaS223	p110	FALSE	7668	0	2022-08-04
mh_p292_000000075823	spaS223	p110	FALSE	7668	0	2022-08-04
mh_p292_000000075823	spaS222	p110	FALSE	12731	0	2022-07-21
spaS223_000000003932	spaS223	p110	FALSE	7618	0	2022-08-04
spaS152_000000004119	spaS223	p110	FALSE	7590	0	2022-08-04
spaS127_000000021967	spaS223	p110	FALSE	6717	0	2022-08-04
spaS169_000000014416	spaS223	p110	FALSE	6715	0	2022-08-04
spaS50_000000014298	spaS223	p110	FALSE	6697	0	2022-08-04
spaS223_000000004480	spaS223	p110	FALSE	6690	0	2022-08-04
spaS71_000000018388	spaS223	p110	FALSE	6657	0	2022-08-04
spaS223_000000004531	spaS223	p110	FALSE	6614	0	2022-08-04
spaS223_000000004535	spaS223	p110	FALSE	6607	0	2022-08-04
spaS223_000000004539	spaS223	p110	FALSE	6605	0	2022-08-04
spaS223_000000004546	spaS223	p110	FALSE	6591	0	2022-08-04
spaS223_000000005263	spaS223	p110	FALSE	5724	0	2022-08-04
spaS30_000000017756	spaS223	p110	FALSE	5695	0	2022-08-04
spaS223_000000005290	spaS223	p110	FALSE	5694	0	2022-08-04
spaS79_000000008647	spaS223	p110	FALSE	5679	0	2022-08-04
spaS79_000000008647	spaS30	p110	FALSE	5157	0	2022-11-22
spaS79_000000008647	mh_p110	p110	TRUE	5675	0	
spaS79_000000008647	spaS37	p110	FALSE	5006	0	2022-12-06
spaS79_000000008647	spaS222	p110	FALSE	7882	0	2022-07-21
spaS237_000000019529	spaS223	p110	FALSE	5679	0	2022-08-04
spaS223_000000005321	spaS223	p110	FALSE	5665	0	2022-08-04
spaS52_000000019132	spaS223	p110	FALSE	5653	0	2022-08-04
spaS223_000000005342	spaS223	p110	FALSE	5638	0	2022-08-04
