whole_cohort_id	is_plasmid	is_virus	has_amr	n_samples	n_participants	length	n_genes	n_amr_genes	n_good_mag	n_binned	mag_status
mh_p110_000000006062	TRUE	FALSE	FALSE	2	1	4785	18	0	0	0	unbinned
mh_p110_000000006469	TRUE	FALSE	FALSE	6	3	59378	60	0	4	4	good MAG
mh_p110_000000006695	TRUE	FALSE	FALSE	1	1	5027	9	0	0	0	unbinned
mh_p110_000000006733	FALSE	TRUE	FALSE	4	1	7906	9	0	3	3	good MAG
mh_p110_000000007583	TRUE	FALSE	FALSE	2	1	5281	5	0	1	1	good MAG
mh_p110_000000007631	TRUE	FALSE	FALSE	2	1	6101	8	0	0	0	unbinned
mh_p110_000000007834	FALSE	TRUE	FALSE	2	1	7493	14	0	2	2	good MAG
mh_p110_000000007909	TRUE	FALSE	FALSE	3	2	9527	11	0	2	2	good MAG
mh_p110_000000008147	TRUE	TRUE	FALSE	3	1	7983	15	0	0	0	unbinned
mh_p110_000000008305	FALSE	FALSE	TRUE	1	1	1163	2	1	0	0	unbinned
mh_p110_000000008627	FALSE	FALSE	TRUE	3	1	166425	174	1	2	2	good MAG
mh_p110_000000008657	TRUE	FALSE	FALSE	2	1	5944	9	0	0	0	unbinned
mh_p110_000000008690	FALSE	TRUE	FALSE	5	2	9337	11	0	0	0	unbinned
mh_p110_000000009505	TRUE	FALSE	FALSE	6	1	14303	14	0	5	5	good MAG
mh_p110_000000009761	FALSE	TRUE	FALSE	2	1	12785	16	0	0	0	unbinned
mh_p110_000000009965	TRUE	FALSE	FALSE	3	1	18235	15	0	0	0	unbinned
mh_p110_000000010173	TRUE	FALSE	FALSE	11	4	7948	56	0	2	2	good MAG
mh_p110_000000010389	TRUE	FALSE	FALSE	6	2	8404	11	0	1	1	good MAG
mh_p110_000000010404	FALSE	TRUE	FALSE	2	1	6557	2	0	0	0	unbinned
mh_p110_000000010441	FALSE	TRUE	FALSE	1	1	26059	31	0	1	1	good MAG
mh_p110_000000010575	FALSE	TRUE	FALSE	2	1	7554	14	0	0	0	unbinned
mh_p110_000000010595	TRUE	FALSE	FALSE	2	1	33292	35	0	1	1	good MAG
mh_p110_000000011004	FALSE	FALSE	TRUE	2	1	1511	2	1	0	0	unbinned
mh_p110_000000011763	TRUE	FALSE	FALSE	1	1	8405	8	0	1	1	good MAG
mh_p110_000000012193	FALSE	TRUE	FALSE	3	2	15269	27	0	0	0	unbinned
mh_p110_000000012316	TRUE	FALSE	FALSE	4	1	7277	28	0	0	0	unbinned
mh_p110_000000012359	TRUE	FALSE	FALSE	5	2	6223	8	0	0	0	unbinned
mh_p110_000000012389	FALSE	TRUE	FALSE	2	1	73426	72	0	1	1	good MAG
mh_p110_000000012422	FALSE	TRUE	FALSE	3	2	9613	16	0	0	0	unbinned
mh_p110_000000012590	FALSE	TRUE	FALSE	2	1	72406	83	0	1	1	good MAG
mh_p110_000000012598	TRUE	FALSE	FALSE	13	2	39579	39	0	1	1	good MAG
mh_p110_000000012879	TRUE	FALSE	FALSE	2	1	6447	8	0	2	2	good MAG
mh_p110_000000013004	TRUE	FALSE	FALSE	5	3	9157	12	0	1	1	good MAG
mh_p110_000000013452	TRUE	FALSE	FALSE	1	1	9208	10	0	0	0	unbinned
mh_p110_000000013756	TRUE	FALSE	FALSE	4	1	6285	9	0	0	0	unbinned
mh_p110_000000013892	TRUE	FALSE	FALSE	8	3	8538	19	0	1	1	good MAG
mh_p110_000000014520	TRUE	FALSE	FALSE	5	1	5150	6	0	1	1	good MAG
mh_p110_000000014650	FALSE	TRUE	FALSE	1	1	5626	12	0	0	0	unbinned
mh_p110_000000014822	TRUE	FALSE	FALSE	1	1	9211	13	0	0	0	unbinned
mh_p110_000000015161	FALSE	TRUE	FALSE	1	1	5867	5	0	1	1	good MAG
mh_p110_000000015264	TRUE	FALSE	FALSE	2	1	5431	7	0	0	0	unbinned
mh_p110_000000015456	FALSE	TRUE	FALSE	2	1	8416	16	0	0	0	unbinned
mh_p110_000000015498	TRUE	FALSE	FALSE	2	1	2032	11	0	0	0	unbinned
mh_p110_000000015576	TRUE	FALSE	FALSE	2	2	9957	10	0	0	0	unbinned
mh_p110_000000015655	TRUE	FALSE	FALSE	2	1	6222	5	0	0	0	unbinned
mh_p110_000000016204	FALSE	TRUE	FALSE	2	1	5848	10	0	2	2	good MAG
mh_p110_000000016829	TRUE	FALSE	FALSE	4	2	9669	18	0	1	1	good MAG
mh_p110_000000016866	FALSE	TRUE	FALSE	2	1	7627	7	0	0	0	unbinned
mh_p110_000000017630	FALSE	TRUE	FALSE	2	1	5211	6	0	0	0	unbinned
mh_p110_000000017960	TRUE	FALSE	FALSE	3	1	5419	8	0	0	0	unbinned
mh_p110_000000018553	TRUE	FALSE	FALSE	1	1	6804	9	0	0	0	unbinned
mh_p110_000000018655	FALSE	TRUE	FALSE	1	1	5406	4	0	0	0	unbinned
mh_p110_000000018767	TRUE	FALSE	FALSE	1	1	6493	9	0	1	1	good MAG
mh_p110_000000018855	FALSE	TRUE	FALSE	4	2	6489	5	0	0	0	unbinned
mh_p110_000000019199	TRUE	FALSE	FALSE	2	1	35381	41	0	0	0	unbinned
mh_p110_000000019314	TRUE	FALSE	FALSE	3	1	9609	8	0	1	1	good MAG
mh_p110_000000019486	TRUE	FALSE	FALSE	1	1	6373	6	0	1	1	good MAG
mh_p110_000000019709	FALSE	TRUE	FALSE	3	2	6366	20	0	0	1	binned (low quality)
mh_p110_000000020059	FALSE	TRUE	FALSE	2	1	11364	14	0	0	0	unbinned
mh_p110_000000020406	TRUE	FALSE	FALSE	2	1	6728	7	0	0	0	unbinned
mh_p110_000000020549	FALSE	FALSE	TRUE	3	2	2128	2	1	0	0	unbinned
mh_p110_000000020787	FALSE	TRUE	FALSE	1	1	12645	13	0	1	1	good MAG
mh_p110_000000020887	TRUE	FALSE	FALSE	4	2	31307	32	0	3	3	good MAG
mh_p110_000000020904	FALSE	TRUE	FALSE	2	1	3593	15	0	1	1	good MAG
mh_p110_000000021400	FALSE	TRUE	FALSE	2	1	2017	8	0	1	2	good MAG
mh_p110_000000021414	FALSE	TRUE	FALSE	1	1	6059	7	0	1	1	good MAG
mh_p110_000000021538	FALSE	TRUE	FALSE	1	1	5050	10	0	0	0	unbinned
mh_p110_000000021734	FALSE	TRUE	FALSE	2	1	12703	13	0	0	0	unbinned
mh_p110_000000022095	FALSE	TRUE	FALSE	3	1	6724	3	0	0	0	unbinned
mh_p110_000000022241	FALSE	TRUE	FALSE	2	2	16874	24	0	2	2	good MAG
mh_p110_000000022289	FALSE	TRUE	FALSE	2	1	5569	10	0	0	0	unbinned
mh_p110_000000023068	TRUE	FALSE	FALSE	2	1	6741	8	0	1	1	good MAG
mh_p110_000000023237	FALSE	FALSE	TRUE	2	1	3965	8	1	0	0	unbinned
mh_p110_000000023307	TRUE	FALSE	FALSE	9	3	7542	11	0	0	0	unbinned
mh_p110_000000023331	FALSE	FALSE	TRUE	4	3	55050	65	1	4	4	good MAG
mh_p110_000000023660	FALSE	FALSE	TRUE	1	1	2725	2	1	0	0	unbinned
mh_p110_000000023781	FALSE	FALSE	TRUE	2	1	60997	56	1	2	2	good MAG
mh_p110_000000024390	FALSE	TRUE	FALSE	2	1	21002	20	0	1	1	good MAG
mh_p110_000000024727	FALSE	TRUE	FALSE	2	1	7896	7	0	0	0	unbinned
mh_p110_000000024729	TRUE	FALSE	FALSE	2	1	6138	10	0	0	0	unbinned
mh_p110_000000025023	FALSE	FALSE	TRUE	2	1	260325	224	2	2	2	good MAG
mh_p110_000000025048	TRUE	FALSE	FALSE	5	1	21685	23	0	0	0	unbinned
mh_p110_000000025305	TRUE	FALSE	FALSE	2	1	17069	15	0	0	0	unbinned
mh_p110_000000025492	TRUE	FALSE	FALSE	2	1	6527	8	0	0	0	unbinned
mh_p110_000000025510	FALSE	TRUE	FALSE	3	2	8993	12	0	2	2	good MAG
mh_p110_000000026172	FALSE	TRUE	FALSE	4	2	6417	53	0	1	1	good MAG
mh_p110_000000026326	TRUE	FALSE	FALSE	2	1	6763	15	0	0	0	unbinned
mh_p110_000000026393	TRUE	FALSE	FALSE	3	1	4493	11	0	0	0	unbinned
mh_p110_000000026406	FALSE	TRUE	FALSE	1	1	9369	9	0	0	0	unbinned
mh_p110_000000026618	FALSE	TRUE	FALSE	3	1	8674	19	0	3	3	good MAG
mh_p110_000000026845	FALSE	FALSE	TRUE	1	1	1308	2	1	0	0	unbinned
mh_p110_000000026858	TRUE	FALSE	FALSE	2	1	6761	22	0	1	1	good MAG
mh_p110_000000027516	TRUE	FALSE	FALSE	1	1	5385	8	0	0	0	unbinned
mh_p110_000000027719	FALSE	FALSE	TRUE	3	1	61497	64	1	3	3	good MAG
mh_p110_000000028283	FALSE	FALSE	TRUE	1	1	1568	2	1	0	0	unbinned
mh_p110_000000028391	TRUE	FALSE	FALSE	3	1	60236	54	0	0	0	unbinned
mh_p110_000000028871	FALSE	TRUE	FALSE	1	1	5634	4	0	0	0	unbinned
mh_p110_000000029280	TRUE	FALSE	FALSE	2	1	5691	6	0	0	0	unbinned
mh_p110_000000029399	FALSE	TRUE	FALSE	3	1	7015	7	0	2	2	good MAG
mh_p110_000000029434	TRUE	FALSE	FALSE	7	2	6476	9	0	4	4	good MAG
mh_p110_000000029458	TRUE	FALSE	FALSE	3	1	77035	61	0	4	4	good MAG
mh_p110_000000029752	TRUE	FALSE	FALSE	1	1	14471	13	0	0	0	unbinned
mh_p110_000000029925	FALSE	TRUE	FALSE	1	1	12021	11	0	1	1	good MAG
mh_p110_000000030213	TRUE	TRUE	FALSE	5	1	5384	25	0	1	1	good MAG
mh_p110_000000030372	TRUE	FALSE	FALSE	2	1	5493	10	0	0	0	unbinned
mh_p110_000000030731	FALSE	TRUE	FALSE	2	1	6579	7	0	0	1	binned (low quality)
mh_p110_000000031037	TRUE	FALSE	FALSE	2	1	8127	11	0	1	1	good MAG
mh_p110_000000031359	FALSE	TRUE	FALSE	7	1	25727	36	0	2	2	good MAG
mh_p110_000000031370	FALSE	TRUE	FALSE	5	1	6576	6	0	0	0	unbinned
mh_p110_000000031544	FALSE	TRUE	FALSE	2	1	9835	7	0	2	2	good MAG
mh_p110_000000031650	TRUE	FALSE	FALSE	3	1	7161	17	0	0	0	unbinned
mh_p110_000000031917	TRUE	FALSE	FALSE	9	1	27997	37	0	9	9	good MAG
mh_p110_000000031991	FALSE	FALSE	TRUE	7	3	9354	10	1	6	6	good MAG
mh_p110_000000032416	FALSE	TRUE	FALSE	2	1	19292	10	0	2	2	good MAG
mh_p110_000000032444	TRUE	FALSE	FALSE	2	1	6495	5	0	1	1	good MAG
mh_p110_000000032769	FALSE	FALSE	TRUE	1	1	3670	4	1	0	0	unbinned
mh_p110_000000033262	FALSE	TRUE	FALSE	1	1	6918	8	0	0	0	unbinned
mh_p110_000000033583	TRUE	FALSE	FALSE	4	1	5700	13	0	1	1	good MAG
mh_p110_000000033722	TRUE	FALSE	FALSE	15	2	17839	14	0	1	1	good MAG
mh_p110_000000033754	FALSE	TRUE	FALSE	3	1	8959	12	0	0	0	unbinned
mh_p110_000000034454	FALSE	TRUE	FALSE	3	1	3133	13	0	1	1	good MAG
mh_p110_000000034867	TRUE	FALSE	FALSE	2	1	6541	6	0	0	0	unbinned
mh_p110_000000035287	TRUE	TRUE	FALSE	7	3	5162	33	0	0	0	unbinned
mh_p110_000000035568	FALSE	TRUE	FALSE	1	1	9062	7	0	0	0	unbinned
mh_p110_000000035853	TRUE	FALSE	FALSE	3	1	8840	13	0	0	0	unbinned
mh_p110_000000035864	FALSE	TRUE	FALSE	2	1	8613	13	0	1	1	good MAG
mh_p110_000000036302	TRUE	FALSE	FALSE	8	4	6448	9	0	0	0	unbinned
mh_p110_000000036410	FALSE	FALSE	TRUE	2	1	47327	27	1	1	1	good MAG
mh_p110_000000036445	FALSE	FALSE	TRUE	5	1	3131	3	1	0	0	unbinned
mh_p110_000000036738	FALSE	TRUE	FALSE	2	1	47817	49	0	1	1	good MAG
mh_p110_000000037023	FALSE	TRUE	FALSE	1	1	5078	5	0	0	0	unbinned
mh_p110_000000037052	TRUE	FALSE	FALSE	1	1	10511	10	0	1	1	good MAG
mh_p110_000000037058	FALSE	TRUE	FALSE	2	1	5200	8	0	0	0	unbinned
mh_p110_000000037338	FALSE	TRUE	FALSE	2	1	5666	7	0	0	0	unbinned
mh_p110_000000037475	TRUE	FALSE	FALSE	5	1	7979	6	0	0	0	unbinned
mh_p110_000000037955	FALSE	TRUE	FALSE	1	1	5263	5	0	0	0	unbinned
mh_p110_000000038117	TRUE	FALSE	FALSE	3	1	5680	7	0	0	0	unbinned
mh_p110_000000038247	TRUE	FALSE	FALSE	2	1	16021	11	0	0	0	unbinned
mh_p110_000000038470	FALSE	TRUE	FALSE	3	2	6536	12	0	1	1	good MAG
mh_p110_000000038814	TRUE	FALSE	FALSE	1	1	19396	14	0	0	0	unbinned
mh_p110_000000038948	TRUE	FALSE	FALSE	1	1	6524	6	0	1	1	good MAG
mh_p110_000000039165	TRUE	FALSE	FALSE	3	2	8009	12	0	0	0	unbinned
mh_p110_000000040626	FALSE	TRUE	FALSE	3	1	6170	6	0	0	1	binned (low quality)
mh_p110_000000040943	FALSE	TRUE	FALSE	2	1	2665	15	0	0	0	unbinned
mh_p110_000000041024	FALSE	FALSE	TRUE	4	4	2325	3	1	0	0	unbinned
mh_p110_000000041309	TRUE	FALSE	FALSE	2	1	6512	6	0	1	1	good MAG
mh_p110_000000041350	TRUE	FALSE	FALSE	4	2	9239	7	0	0	0	unbinned
mh_p110_000000041386	FALSE	TRUE	FALSE	4	2	6025	19	0	2	2	good MAG
mh_p110_000000041701	FALSE	TRUE	FALSE	3	2	7420	16	0	2	2	good MAG
mh_p110_000000041844	FALSE	FALSE	TRUE	2	2	9133	9	1	1	1	good MAG
mh_p110_000000042589	FALSE	FALSE	TRUE	4	4	1662	3	1	0	0	unbinned
mh_p110_000000042769	FALSE	TRUE	FALSE	2	1	8236	18	0	0	0	unbinned
mh_p110_000000042896	FALSE	TRUE	FALSE	2	1	5144	5	0	1	1	good MAG
mh_p110_000000043869	FALSE	TRUE	FALSE	1	1	14215	22	0	0	0	unbinned
mh_p110_000000044018	FALSE	TRUE	FALSE	2	1	5556	7	0	1	2	good MAG
mh_p110_000000044048	TRUE	FALSE	FALSE	4	1	9570	10	0	3	3	good MAG
mh_p110_000000044070	TRUE	FALSE	FALSE	2	1	8364	4	0	0	0	unbinned
mh_p110_000000044086	FALSE	TRUE	FALSE	2	1	7802	10	0	1	1	good MAG
mh_p110_000000044846	FALSE	TRUE	FALSE	1	1	6840	10	0	0	0	unbinned
mh_p110_000000045074	FALSE	FALSE	TRUE	2	1	168069	129	1	2	2	good MAG
mh_p110_000000045129	FALSE	TRUE	FALSE	3	2	7461	14	0	2	2	good MAG
mh_p110_000000045224	TRUE	FALSE	FALSE	4	1	6962	11	0	0	0	unbinned
mh_p110_000000045241	TRUE	FALSE	FALSE	4	1	6590	7	0	1	1	good MAG
mh_p110_000000046630	TRUE	FALSE	FALSE	2	1	8546	17	0	0	0	unbinned
mh_p110_000000046771	FALSE	TRUE	FALSE	2	2	7790	14	0	1	1	good MAG
mh_p110_000000047416	FALSE	FALSE	TRUE	6	2	9633	18	1	5	5	good MAG
mh_p110_000000047652	TRUE	FALSE	FALSE	5	2	8882	12	0	0	0	unbinned
mh_p110_000000048029	TRUE	FALSE	FALSE	1	1	10622	8	0	1	1	good MAG
mh_p110_000000048502	TRUE	FALSE	FALSE	2	1	9055	5	0	0	0	unbinned
mh_p110_000000048970	FALSE	TRUE	FALSE	2	1	5225	5	0	0	0	unbinned
mh_p110_000000048974	FALSE	FALSE	TRUE	6	1	50916	24	1	6	6	good MAG
mh_p110_000000049223	TRUE	FALSE	FALSE	2	1	5970	11	0	1	1	good MAG
mh_p110_000000049289	FALSE	FALSE	TRUE	3	1	5841	4	1	1	1	good MAG
mh_p110_000000049443	FALSE	TRUE	FALSE	2	1	6716	8	0	0	0	unbinned
mh_p110_000000050084	TRUE	FALSE	FALSE	13	1	8003	23	0	13	13	good MAG
mh_p110_000000050247	FALSE	TRUE	FALSE	2	1	8767	12	0	1	1	good MAG
mh_p110_000000051555	TRUE	FALSE	FALSE	2	1	7683	13	0	1	1	good MAG
mh_p110_000000051733	TRUE	TRUE	FALSE	3	1	58416	57	0	0	0	unbinned
mh_p110_000000051838	TRUE	TRUE	FALSE	3	1	17440	13	0	0	0	unbinned
mh_p110_000000052017	FALSE	FALSE	TRUE	1	1	2063	3	1	0	0	unbinned
mh_p110_000000052453	FALSE	TRUE	FALSE	2	1	8139	11	0	1	1	good MAG
mh_p110_000000052796	TRUE	FALSE	FALSE	2	1	16766	15	0	0	0	unbinned
mh_p110_000000052973	FALSE	TRUE	FALSE	2	1	1968	14	0	1	1	good MAG
mh_p110_000000053049	TRUE	FALSE	FALSE	4	2	17446	21	0	0	0	unbinned
mh_p110_000000053209	TRUE	FALSE	FALSE	5	1	5645	7	0	1	1	good MAG
mh_p110_000000053737	FALSE	TRUE	FALSE	2	1	9831	10	0	0	0	unbinned
mh_p110_000000054743	FALSE	TRUE	FALSE	2	1	12374	9	0	0	0	unbinned
mh_p110_000000055210	FALSE	FALSE	TRUE	2	1	2200	2	1	0	1	binned (low quality)
mh_p110_000000055268	FALSE	TRUE	FALSE	1	1	29021	32	0	1	1	good MAG
mh_p110_000000055291	FALSE	TRUE	FALSE	2	1	5668	16	0	1	1	good MAG
mh_p110_000000055322	FALSE	TRUE	FALSE	2	1	8796	26	0	0	0	unbinned
mh_p110_000000055354	TRUE	FALSE	FALSE	2	1	5095	8	0	0	0	unbinned
mh_p110_000000055496	FALSE	TRUE	FALSE	2	1	5654	7	0	1	1	good MAG
mh_p110_000000055827	TRUE	FALSE	FALSE	2	1	21992	18	0	0	0	unbinned
mh_p110_000000056147	TRUE	FALSE	FALSE	4	2	7355	6	0	1	1	good MAG
mh_p110_000000056772	FALSE	TRUE	FALSE	2	1	7101	12	0	0	0	unbinned
mh_p110_000000057027	FALSE	TRUE	FALSE	2	1	5009	3	0	1	1	good MAG
mh_p110_000000057298	TRUE	FALSE	FALSE	5	2	6963	11	0	1	1	good MAG
mh_p110_000000057299	FALSE	FALSE	TRUE	6	2	40512	30	1	6	6	good MAG
mh_p110_000000057736	FALSE	TRUE	FALSE	2	1	2300	13	0	0	0	unbinned
mh_p110_000000057821	FALSE	TRUE	FALSE	1	1	7245	9	0	0	0	unbinned
mh_p110_000000057965	FALSE	TRUE	FALSE	1	1	7126	9	0	1	1	good MAG
mh_p110_000000058155	FALSE	TRUE	FALSE	2	1	33487	37	0	1	1	good MAG
mh_p110_000000058384	FALSE	TRUE	FALSE	2	1	6908	16	0	0	0	unbinned
mh_p110_000000058397	FALSE	TRUE	FALSE	1	1	5286	6	0	0	0	unbinned
mh_p110_000000058504	FALSE	TRUE	FALSE	2	1	5005	8	0	1	1	good MAG
mh_p110_000000058563	FALSE	TRUE	FALSE	2	1	6370	6	0	1	1	good MAG
mh_p110_000000058751	FALSE	TRUE	FALSE	2	1	8995	8	0	2	2	good MAG
mh_p110_000000058838	FALSE	TRUE	FALSE	2	1	5512	6	0	0	0	unbinned
mh_p110_000000059164	FALSE	TRUE	FALSE	1	1	6009	16	0	0	0	unbinned
mh_p110_000000059211	TRUE	FALSE	FALSE	2	1	4591	12	0	0	0	unbinned
mh_p110_000000059397	TRUE	FALSE	FALSE	2	1	7598	7	0	0	0	unbinned
mh_p110_000000059466	FALSE	FALSE	TRUE	2	1	8422	8	1	2	2	good MAG
mh_p110_000000059716	FALSE	FALSE	TRUE	1	1	1005	2	1	0	0	unbinned
mh_p110_000000059884	FALSE	TRUE	FALSE	4	1	6572	15	0	0	0	unbinned
mh_p110_000000060317	TRUE	FALSE	FALSE	2	1	5375	5	0	0	0	unbinned
mh_p110_000000060503	FALSE	TRUE	FALSE	2	1	8963	13	0	0	0	unbinned
mh_p110_000000060961	FALSE	TRUE	FALSE	2	1	6201	13	0	1	1	good MAG
mh_p110_000000061437	TRUE	FALSE	FALSE	3	1	5523	8	0	0	0	unbinned
mh_p110_000000062025	FALSE	TRUE	FALSE	3	1	9625	33	0	1	1	good MAG
mh_p110_000000062753	FALSE	FALSE	TRUE	4	1	70524	71	1	4	4	good MAG
mh_p110_000000063647	FALSE	TRUE	FALSE	3	2	8427	21	0	0	0	unbinned
mh_p110_000000063988	TRUE	FALSE	FALSE	5	2	10420	9	0	1	1	good MAG
mh_p110_000000064010	FALSE	TRUE	FALSE	1	1	12880	14	0	1	1	good MAG
mh_p110_000000064098	TRUE	FALSE	FALSE	3	3	8417	8	0	0	0	unbinned
mh_p110_000000064256	FALSE	TRUE	FALSE	5	2	7896	11	0	4	4	good MAG
mh_p110_000000064284	TRUE	FALSE	FALSE	2	1	9735	14	0	0	0	unbinned
mh_p110_000000064590	TRUE	TRUE	FALSE	10	2	8574	22	0	0	0	unbinned
mh_p110_000000064783	TRUE	FALSE	FALSE	3	2	6829	45	0	3	3	good MAG
mh_p110_000000064808	FALSE	TRUE	FALSE	4	2	7234	25	0	1	1	good MAG
mh_p110_000000065000	TRUE	FALSE	FALSE	2	1	8050	7	0	0	0	unbinned
mh_p110_000000065038	FALSE	TRUE	FALSE	2	1	5230	10	0	0	0	unbinned
mh_p110_000000065271	TRUE	FALSE	FALSE	3	1	5010	9	0	0	0	unbinned
mh_p110_000000065428	FALSE	TRUE	FALSE	2	1	8704	11	0	1	1	good MAG
mh_p110_000000066022	TRUE	FALSE	FALSE	3	1	9546	11	0	1	1	good MAG
mh_p110_000000066047	TRUE	FALSE	FALSE	2	2	18936	12	0	2	2	good MAG
mh_p110_000000066301	TRUE	FALSE	FALSE	2	1	8763	10	0	1	1	good MAG
mh_p110_000000066440	FALSE	TRUE	FALSE	3	1	6880	11	0	1	1	good MAG
mh_p110_000000067582	TRUE	FALSE	FALSE	4	2	8643	7	0	4	4	good MAG
mh_p110_000000067736	FALSE	TRUE	FALSE	2	1	7046	10	0	0	0	unbinned
mh_p110_000000067811	FALSE	TRUE	FALSE	4	2	5474	12	0	1	1	good MAG
mh_p110_000000067926	FALSE	TRUE	FALSE	4	1	6461	8	0	0	0	unbinned
mh_p110_000000068233	FALSE	FALSE	TRUE	2	2	1078	2	1	0	0	unbinned
mh_p110_000000068281	TRUE	FALSE	FALSE	3	2	7021	16	0	2	2	good MAG
mh_p110_000000068291	FALSE	FALSE	TRUE	1	1	1779	2	1	0	0	unbinned
mh_p110_000000068311	FALSE	FALSE	TRUE	1	1	1762	2	1	0	0	unbinned
mh_p110_000000068455	FALSE	TRUE	FALSE	2	1	6940	7	0	0	0	unbinned
mh_p110_000000068581	FALSE	TRUE	FALSE	2	1	6911	7	0	0	0	unbinned
mh_p110_000000069369	TRUE	FALSE	FALSE	2	1	2487	15	0	1	1	good MAG
mh_p110_000000070005	FALSE	TRUE	FALSE	2	1	8716	13	0	0	0	unbinned
mh_p110_000000070415	FALSE	TRUE	FALSE	2	1	5521	6	0	0	0	unbinned
mh_p110_000000070595	FALSE	FALSE	TRUE	1	1	1298	2	1	0	0	unbinned
mh_p110_000000070622	FALSE	TRUE	FALSE	1	1	9217	13	0	0	0	unbinned
mh_p110_000000070827	FALSE	FALSE	TRUE	2	1	2818	3	1	0	0	unbinned
mh_p110_000000070915	FALSE	FALSE	TRUE	1	1	1753	2	1	0	0	unbinned
mh_p110_000000070943	TRUE	FALSE	FALSE	4	3	15142	14	0	3	3	good MAG
mh_p110_000000071227	FALSE	FALSE	TRUE	2	1	37998	97	1	2	2	good MAG
mh_p110_000000072153	TRUE	FALSE	FALSE	5	2	9536	10	0	0	0	unbinned
mh_p110_000000072252	TRUE	FALSE	FALSE	2	1	5620	6	0	1	2	good MAG
mh_p110_000000072317	FALSE	TRUE	FALSE	3	1	8958	12	0	0	0	unbinned
mh_p110_000000072380	TRUE	FALSE	FALSE	2	1	6341	6	0	1	2	good MAG
mh_p110_000000072566	FALSE	FALSE	TRUE	1	1	32717	29	1	1	1	good MAG
mh_p110_000000072910	FALSE	FALSE	TRUE	2	1	66994	41	1	2	2	good MAG
mh_p110_000000073563	FALSE	FALSE	TRUE	2	2	6298	6	1	1	1	good MAG
mh_p110_000000073776	FALSE	FALSE	TRUE	4	1	6745	10	1	4	4	good MAG
mh_p110_000000074058	FALSE	TRUE	FALSE	2	1	13186	17	0	0	0	unbinned
mh_p110_000000074291	FALSE	FALSE	TRUE	3	2	4071	23	1	3	3	good MAG
mh_p110_000000074431	TRUE	FALSE	FALSE	2	1	6582	6	0	2	2	good MAG
mh_p110_000000074636	FALSE	TRUE	FALSE	2	1	5401	7	0	1	1	good MAG
mh_p110_000000074910	TRUE	FALSE	FALSE	8	3	6128	8	0	0	0	unbinned
mh_p110_000000075154	FALSE	TRUE	FALSE	2	1	8958	12	0	1	1	good MAG
mh_p110_000000075168	TRUE	FALSE	FALSE	7	2	6452	7	0	0	0	unbinned
